"","iso_code","Language","value"
"1","afr","Afrikaans_2.6",NA
"2","amh","Amharic_2.6",TRUE
"3","ams","Arabic_2.6",NA
"4","arm","Armenian_2.6",TRUE
"5","bam","Bambara_2.6",NA
"6","bre","Breton_2.6",TRUE
"7","bsq","Basque_2.6",TRUE
"8","bul","Bulgarian_2.6",TRUE
"9","but","Buryat_2.6",NA
"10","chu","Old_Church_Slavonic_2.6",NA
"11","cnt","Cantonese_2.6",NA
"12","cop","Coptic_2.6",NA
"13","ctl","Catalan_2.6",TRUE
"14","cze","Czech_2.6",TRUE
"15","dsh","Danish_2.6",FALSE
"16","dut","Dutch_2.6",FALSE
"17","eng","English_2.6",FALSE
"18","est","Estonian_2.6",TRUE
"19","fin","Finnish_2.6",TRUE
"20","fre","French_2.6",FALSE
"21","gae","Scottish_Gaelic_2.6",FALSE
"22","ger","German_2.6",FALSE
"23","got","Gothic_2.6",NA
"24","grc","Ancient_Greek_2.6",NA
"25","grk","Greek_2.6",TRUE
"26","gua","Mbya_Guarani_2.6",TRUE
"27","heb","Hebrew_2.6",TRUE
"28","hin","Hindi_2.6",NA
"29","hun","Hungarian_2.6",TRUE
"30","ice","Icelandic_2.6",FALSE
"31","ind","Indonesian_2.6",FALSE
"32","iri","Irish_2.6",TRUE
"33","ita","Italian_2.6",TRUE
"34","jpn","Japanese_2.6",TRUE
"35","kor","Korean_2.6",TRUE
"36","krd","Kurmanji_2.6",TRUE
"37","lat","Latvian_2.6",FALSE
"38","lit","Lithuanian_2.6",TRUE
"39","mnd","Chinese_2.6",TRUE
"40","moe","Erzya_2.6",TRUE
"41","nor","Norwegian_2.6",FALSE
"42","pol","Polish_2.6",TRUE
"43","por","Portuguese_2.6",TRUE
"44","prs","Persian_2.6",TRUE
"45","rom","Romanian_2.6",NA
"46","rus","Russian_2.6",FALSE
"47","scr","Croatian_2.6",TRUE
"48","scr","Serbian_2.6",TRUE
"49","slk","Slovak_2.6",NA
"50","slo","Slovenian_2.6",TRUE
"51","sno","North_Sami_2.6",NA
"52","spa","Spanish_2.6",TRUE
"53","swe","Swedish_2.6",FALSE
"54","tha","Thai_2.6",TRUE
"55","tur","Turkish_2.6",TRUE
"56","ukr","Ukrainian_2.6",FALSE
"57","urd","Urdu_2.6",NA
"58","uyg","Uyghur_2.6",FALSE
"59","vie","Vietnamese_2.6",TRUE
"60","wel","Welsh_2.6",NA
"61","wlf","Wolof_2.6",TRUE
"62","yor","Yoruba_2.6",TRUE
"63",NA,"Kazakh_2.6",NA
"64",NA,"Old_Russian_2.6",NA
"65",NA,"Classical_Chinese_2.6",NA
"66",NA,"Old_French_2.6",NA
"67",NA,"Maltese_2.6",NA
"68",NA,"Naija_2.6",NA
"69",NA,"Latin_2.6",NA
"70",NA,"Faroese_2.6",NA
"71",NA,"Sanskrit_2.6",NA
