Language	Fraction	DepLen	DepLenBest
Croatian_2.6	0	1.43977797031	-0.420900374651
Croatian_2.6	1	-2.17979240417	-2.88674855232
Croatian_2.6	2	-4.24579048157	-3.94206881523
Croatian_2.6	3	-5.66171360016	-4.53577470779
Croatian_2.6	4	-6.59604215622	-4.84497594833
Croatian_2.6	5	-7.14095401764	-4.94771385193
Croatian_2.6	6	-7.34723138809	-4.86826133728
Croatian_2.6	7	-7.21198034286	-4.59391736984
Croatian_2.6	8	-6.67612838745	-4.06357622147
Croatian_2.6	9	-5.43147039413	-2.95886254311
Croatian_2.6	10	-1.43977797031	0.420900374651
Kazakh_2.6	0	-1.22701847553	-0.529075324535
Kazakh_2.6	1	-2.51217627525	-1.81982839108
Kazakh_2.6	2	-3.00626277924	-2.26978063583
Kazakh_2.6	3	-3.17629504204	-2.46997141838
Kazakh_2.6	4	-3.15990257263	-2.47569108009
Kazakh_2.6	5	-2.99482560158	-2.38226890564
Kazakh_2.6	6	-2.67877817154	-2.18207812309
Kazakh_2.6	7	-2.18659758568	-1.89609146118
Kazakh_2.6	8	-1.50417947769	-1.49571025372
Kazakh_2.6	9	-0.577768087387	-0.864632964134
Kazakh_2.6	10	1.22701847553	0.529075324535
Breton_2.6	0	0.564614236355	0.205454543233
Breton_2.6	1	-1.5222414732	-1.16545450687
Breton_2.6	2	-2.7038230896	-1.92909085751
Breton_2.6	3	-3.44694662094	-2.42363643646
Breton_2.6	4	-3.92685246468	-2.70363640785
Breton_2.6	5	-4.15953016281	-2.83818173409
Breton_2.6	6	-4.1791639328	-2.83454537392
Breton_2.6	7	-4.0286488533	-2.63454556465
Breton_2.6	8	-3.62436556816	-2.34363627434
Breton_2.6	9	-2.82961606979	-1.76909089088
Breton_2.6	10	-0.564614236355	-0.205454543233
Slovenian_2.6	0	-0.0286700297147	-1.23341691494
Slovenian_2.6	1	-2.9011297226	-3.12149524689
Slovenian_2.6	2	-4.40139627457	-3.76589918137
Slovenian_2.6	3	-5.37002086639	-4.0512881279
Slovenian_2.6	4	-5.94446992874	-4.13175296783
Slovenian_2.6	5	-6.17988967896	-4.07180309296
Slovenian_2.6	6	-6.12710666656	-3.86346030235
Slovenian_2.6	7	-5.8080906868	-3.4636425972
Slovenian_2.6	8	-5.15716218948	-2.83587884903
Slovenian_2.6	9	-3.92932772636	-1.8187828064
Slovenian_2.6	10	0.0286700297147	1.23341691494
Indonesian_2.6	0	4.0468621254	1.19720780849
Indonesian_2.6	1	0.153297737241	-1.47919750214
Indonesian_2.6	2	-1.95371544361	-2.45922708511
Indonesian_2.6	3	-3.49604725838	-3.08626103401
Indonesian_2.6	4	-4.64359855652	-3.48160123825
Indonesian_2.6	5	-5.48045110703	-3.68167519569
Indonesian_2.6	6	-6.039103508	-3.79521083832
Indonesian_2.6	7	-6.31209278107	-3.79521083832
Indonesian_2.6	8	-6.29245567322	-3.61603188515
Indonesian_2.6	9	-5.89031791687	-3.15171957016
Indonesian_2.6	10	-4.0468621254	-1.19720780849
Basque_2.6	0	-1.10748648643	-0.733883917332
Basque_2.6	1	-2.87024521828	-2.22711634636
Basque_2.6	2	-3.61723923683	-2.7272310257
Basque_2.6	3	-3.99527835846	-2.94952964783
Basque_2.6	4	-4.12023544312	-2.99908232689
Basque_2.6	5	-4.01514053345	-2.95916485786
Basque_2.6	6	-3.68847990036	-2.75934839249
Basque_2.6	7	-3.12080168724	-2.38150954247
Basque_2.6	8	-2.28880548477	-1.84927737713
Basque_2.6	9	-1.07716441154	-1.00665295124
Basque_2.6	10	1.10748648643	0.733883917332
Hebrew_2.6	0	2.90584373474	-0.0739338621497
Hebrew_2.6	1	-2.01253676414	-3.43725633621
Hebrew_2.6	2	-4.8764090538	-4.87607192993
Hebrew_2.6	3	-6.91795635223	-5.76750898361
Hebrew_2.6	4	-8.38222312927	-6.3086514473
Hebrew_2.6	5	-9.35269927979	-6.60215997696
Hebrew_2.6	6	-9.86394786835	-6.690346241
Hebrew_2.6	7	-9.9269990921	-6.51931858063
Hebrew_2.6	8	-9.432721138	-5.94677639008
Hebrew_2.6	9	-7.93844223022	-4.49549055099
Hebrew_2.6	10	-2.90584373474	0.0739338621497
Thai_2.6	0	4.33278179169	1.33707869053
Thai_2.6	1	0.781275868416	-1.06859850883
Thai_2.6	2	-1.55060505867	-2.16617393494
Thai_2.6	3	-3.37235879898	-2.86989951134
Thai_2.6	4	-4.73128318787	-3.3453578949
Thai_2.6	5	-5.72150421143	-3.65405082703
Thai_2.6	6	-6.34515142441	-3.85393261909
Thai_2.6	7	-6.65165662766	-3.85393261909
Thai_2.6	8	-6.63770151138	-3.70727372169
Thai_2.6	9	-6.23305273056	-3.24246001244
Thai_2.6	10	-4.33278179169	-1.33707869053
Old_Church_Slavonic_2.6	0	0.336726307869	0.0274894274771
Old_Church_Slavonic_2.6	1	-1.52157235146	-1.38619756699
Old_Church_Slavonic_2.6	2	-2.37476491928	-1.95098042488
Old_Church_Slavonic_2.6	3	-2.88577580452	-2.30853509903
Old_Church_Slavonic_2.6	4	-3.20258879662	-2.50845837593
Old_Church_Slavonic_2.6	5	-3.37148976326	-2.60188388824
Old_Church_Slavonic_2.6	6	-3.38993930817	-2.60188388824
Old_Church_Slavonic_2.6	7	-3.24586987495	-2.45809292793
Old_Church_Slavonic_2.6	8	-2.90729999542	-2.18781232834
Old_Church_Slavonic_2.6	9	-2.24530220032	-1.67454826832
Old_Church_Slavonic_2.6	10	-0.336726307869	-0.0274894274771
Chinese_2.6	0	1.32531034946	0.733559966087
Chinese_2.6	1	-2.41450929642	-2.31525039673
Chinese_2.6	2	-4.23212099075	-3.62392926216
Chinese_2.6	3	-5.38584709167	-4.36963510513
Chinese_2.6	4	-6.07801532745	-4.79891252518
Chinese_2.6	5	-6.40935659409	-4.97113084793
Chinese_2.6	6	-6.41431093216	-4.92680692673
Chinese_2.6	7	-6.10431194305	-4.66458177567
Chinese_2.6	8	-5.39670324326	-4.15254926682
Chinese_2.6	9	-4.12502193451	-3.17181062698
Chinese_2.6	10	-1.32531034946	-0.733559966087
Serbian_2.6	0	1.67897641659	-0.28103107214
Serbian_2.6	1	-1.90941369534	-2.72280240059
Serbian_2.6	2	-4.01617050171	-3.76920032501
Serbian_2.6	3	-5.4666633606	-4.35558509827
Serbian_2.6	4	-6.46136283875	-4.66305351257
Serbian_2.6	5	-7.04874229431	-4.7688035965
Serbian_2.6	6	-7.28229141235	-4.6984796524
Serbian_2.6	7	-7.1634016037	-4.43701267242
Serbian_2.6	8	-6.64374637604	-3.92227363586
Serbian_2.6	9	-5.44176578522	-2.839656353
Serbian_2.6	10	-1.67897641659	0.28103107214
Hungarian_2.6	0	-2.76228666306	-2.74895071983
Hungarian_2.6	1	-6.02893447876	-5.37848138809
Hungarian_2.6	2	-7.47450637817	-6.23998451233
Hungarian_2.6	3	-8.23909950256	-6.49332332611
Hungarian_2.6	4	-8.42616558075	-6.40404415131
Hungarian_2.6	5	-8.11199760437	-6.04082393646
Hungarian_2.6	6	-7.39317941666	-5.40366268158
Hungarian_2.6	7	-6.3020567894	-4.50553226471
Hungarian_2.6	8	-4.78995990753	-3.25639057159
Hungarian_2.6	9	-2.46322417259	-1.36016786098
Hungarian_2.6	10	2.76228666306	2.74895071983
French_2.6	0	4.51615476608	1.00785803795
French_2.6	1	-0.830914795399	-2.46311211586
French_2.6	2	-3.81982779503	-3.84796237946
French_2.6	3	-5.94796228409	-4.6734957695
French_2.6	4	-7.49363183975	-5.18054294586
French_2.6	5	-8.5657043457	-5.47001552582
French_2.6	6	-9.21632099152	-5.56399345398
French_2.6	7	-9.46396350861	-5.47160625458
French_2.6	8	-9.26648902893	-5.14481592178
French_2.6	9	-8.39167499542	-4.32733106613
French_2.6	10	-4.51615476608	-1.00785803795
Old_French_2.6	0	-3.85438990593	-3.2871723175
Old_French_2.6	1	-5.35765218735	-4.36594772339
Old_French_2.6	2	-5.59308719635	-4.40970468521
Old_French_2.6	3	-5.47946357727	-4.20974159241
Old_French_2.6	4	-5.11315059662	-3.81482625008
Old_French_2.6	5	-4.57125520706	-3.34266328812
Old_French_2.6	6	-3.86348223686	-2.74277329445
Old_French_2.6	7	-2.97115921974	-2.01760077477
Old_French_2.6	8	-1.8140232563	-1.13341069221
Old_French_2.6	9	-0.116410329938	0.126016005874
Old_French_2.6	10	3.85438990593	3.2871723175
Arabic_2.6	0	0.363993108273	0.0371543206275
Arabic_2.6	1	-4.14612913132	-4.68412160873
Arabic_2.6	2	-5.74179935455	-5.91848087311
Arabic_2.6	3	-6.53436565399	-6.30903053284
Arabic_2.6	4	-6.87825012207	-6.33993530273
Arabic_2.6	5	-6.94378185272	-6.33993530273
Arabic_2.6	6	-6.91780424118	-6.33993530273
Arabic_2.6	7	-6.6655163765	-6.3315320015
Arabic_2.6	8	-6.006275177	-5.9740190506
Arabic_2.6	9	-4.6111497879	-4.78922653198
Arabic_2.6	10	-0.363993108273	-0.0371543206275
Cantonese_2.6	0	2.15524148941	0.838235318661
Cantonese_2.6	1	-0.857602715492	-1.04621851444
Cantonese_2.6	2	-2.38964700699	-1.84453785419
Cantonese_2.6	3	-3.31635546684	-2.31092429161
Cantonese_2.6	4	-3.92211294174	-2.63235282898
Cantonese_2.6	5	-4.31531143188	-2.83403372765
Cantonese_2.6	6	-4.51821374893	-2.87394952774
Cantonese_2.6	7	-4.51611423492	-2.81302523613
Cantonese_2.6	8	-4.31111431122	-2.60084033012
Cantonese_2.6	9	-3.78432488441	-2.14075636864
Cantonese_2.6	10	-2.15524148941	-0.838235318661
Bambara_2.6	0	1.83848071098	-0.247711360455
Bambara_2.6	1	-0.958762824535	-1.22240173817
Bambara_2.6	2	-2.14334988594	-1.62412488461
Bambara_2.6	3	-2.95425510406	-1.82444798946
Bambara_2.6	4	-3.50788831711	-2.00215411186
Bambara_2.6	5	-3.85529637337	-2.00215411186
Bambara_2.6	6	-4.00390911102	-1.87506735325
Bambara_2.6	7	-3.93509340286	-1.67582118511
Bambara_2.6	8	-3.63485360146	-1.2870221138
Bambara_2.6	9	-3.06420564651	-0.752827167511
Bambara_2.6	10	-1.83848071098	0.247711360455
Slovak_2.6	0	1.13834238052	0.13818924129
Slovak_2.6	1	-0.865559577942	-1.17889726162
Slovak_2.6	2	-1.96845459938	-1.75806665421
Slovak_2.6	3	-2.71891117096	-2.13655543327
Slovak_2.6	4	-3.23594760895	-2.33669161797
Slovak_2.6	5	-3.54940533638	-2.44615387917
Slovak_2.6	6	-3.68634009361	-2.44615387917
