Language	Fraction	DepLen	DepLenBest	DepLenBest1	DepLen1	DepLenReal
Coptic_2.6	0	2.69702887535	0.00822175201029	-78.1724243164	-78.6937942505	-78.2922210693
Coptic_2.6	1	0.126883849502	-0.774019241333	-74.9819107056	-75.4655990601	-75.0688247681
Coptic_2.6	2	-1.35434055328	-1.17430114746	-69.2078933716	-69.6293258667	-69.2666168213
Coptic_2.6	3	-2.42475247383	-1.38289880753	-61.2708473206	-61.6217842102	-61.2858810425
Coptic_2.6	4	-3.19935178757	-1.58256983757	-51.3615226746	-51.6383399963	-51.3455467224
Coptic_2.6	5	-3.74489355087	-1.59290575981	-39.4545440674	-39.6280822754	-39.3887710571
Coptic_2.6	6	-4.09669923782	-1.59290575981	-25.3366222382	-25.3991031647	-25.2473564148
Coptic_2.6	7	-4.25632762909	-1.52478265762	-8.93868923187	-8.88655090332	-8.83485984802
Coptic_2.6	8	-4.22696781158	-1.32464182377	10.4604177475	10.653512001	10.568944931
Coptic_2.6	9	-3.98484802246	-1.06577396393	34.9837913513	35.3201637268	35.0960769653
Coptic_2.6	10	-2.69702887535	-0.00822175201029	78.1724243164	78.6937942505	78.2922210693
Uyghur_2.6	0	-1.88215398788	-0.522399783134	-25.3903579712	-26.9107780457	-27.0212211609
Uyghur_2.6	1	-3.05316615105	-1.85957562923	-24.6311244965	-26.1110115051	-26.2336921692
Uyghur_2.6	2	-3.34546113014	-2.21692419052	-23.2263565063	-24.6140708923	-24.7566146851
Uyghur_2.6	3	-3.42006611824	-2.34686923027	-21.2604141235	-22.4923057556	-22.6518211365
Uyghur_2.6	4	-3.29631567001	-2.34686923027	-18.6667537689	-19.6855125427	-19.8747711182
Uyghur_2.6	5	-3.01795840263	-2.16976690292	-15.4333248138	-16.2020244598	-16.3714962006
Uyghur_2.6	6	-2.56943106651	-1.96960961819	-11.4228448868	-11.9128017426	-12.0597324371
Uyghur_2.6	7	-1.95335495472	-1.5855383873	-6.46712064743	-6.60078048706	-6.73408412933
Uyghur_2.6	8	-1.13881742954	-1.16164529324	-0.157977461815	0.100985310972	0.025150641799
Uyghur_2.6	9	-0.0373298488557	-0.55907779932	8.42048740387	9.17222499847	9.18208026886
Uyghur_2.6	10	1.88215398788	0.522399783134	25.3903579712	26.9107780457	27.0212211609
Irish_2.6	0	2.2023973465	-0.543550670147	-91.1577835083	-91.6790847778	-91.449546814
Irish_2.6	1	-0.980150222778	-1.92336976528	-89.7751083374	-90.2878570557	-90.0073776245
Irish_2.6	2	-2.66593956947	-2.56734895706	-86.4038543701	-86.8892974854	-86.5333175659
Irish_2.6	3	-3.85906124115	-2.98286533356	-81.0406951904	-81.4765930176	-81.0297470093
Irish_2.6	4	-4.72237300873	-3.22989058495	-73.7670135498	-74.1441650391	-73.550453186
Irish_2.6	5	-5.31974554062	-3.4302713871	-64.527130127	-64.808631897	-64.1316070557
Irish_2.6	6	-5.70547437668	-3.48167538643	-53.129699707	-53.29845047	-52.6532592773
Irish_2.6	7	-5.88865423203	-3.48167538643	-38.9088516235	-38.9593086243	-38.3357925415
Irish_2.6	8	-5.83225822449	-3.30747270584	-21.4276542664	-21.3552398682	-20.8488807678
Irish_2.6	9	-5.37918519974	-2.77772498131	2.24345541	2.50287055969	2.81032848358
Irish_2.6	10	-2.2023973465	0.543550670147	91.1577835083	91.6790847778	91.449546814
Lithuanian_2.6	0	-0.18600858748	-1.27498018742	-56.1840248108	-57.5740318298	-55.4793052673
Lithuanian_2.6	1	-2.9079079628	-2.85209608078	-54.5336151123	-55.8677482605	-53.839969635
Lithuanian_2.6	2	-4.30486869812	-3.40205645561	-51.2064323425	-52.4440498352	-50.5512771606
Lithuanian_2.6	3	-5.20127439499	-3.64513587952	-46.4313201904	-47.5363693237	-45.8520965576
Lithuanian_2.6	4	-5.75223255157	-3.74532032013	-40.3132095337	-41.2443084717	-39.8520965576
Lithuanian_2.6	5	-6.0204372406	-3.74532032013	-32.8921699524	-33.6141700745	-32.5307159424
Lithuanian_2.6	6	-6.02439069748	-3.57869768143	-23.9873447418	-24.4402523041	-23.7255477905
Lithuanian_2.6	7	-5.76746749878	-3.32454514503	-13.0524654388	-13.2061462402	-12.9815444946
Lithuanian_2.6	8	-5.18946123123	-2.86844182014	0.824149727821	1.00542116165	0.661481678486
Lithuanian_2.6	9	-3.98815917969	-1.99050879478	19.583442688	20.2237186432	19.1513309479
Lithuanian_2.6	10	0.18600858748	1.27498018742	56.1840248108	57.5740318298	55.4793052673
Korean_2.6	0	-0.185170158744	0.810548305511	-32.5381355286	-33.9139556885	-33.8197364807
Korean_2.6	1	-2.38483214378	-1.48102498055	-31.3888015747	-32.7091789246	-32.6300621033
Korean_2.6	2	-3.16935896873	-2.30658888817	-29.1180706024	-30.3104286194	-30.2576580048
Korean_2.6	3	-3.57067894936	-2.73300457001	-25.9546909332	-26.9705734253	-26.9609298706
Korean_2.6	4	-3.77064156532	-2.93298959732	-21.8994846344	-22.6969680786	-22.7277011871
Korean_2.6	5	-3.80499649048	-3.02696847916	-16.9107646942	-17.4694728851	-17.5412368774
Korean_2.6	6	-3.64126634598	-2.99992537498	-10.9248094559	-11.1968288422	-11.3195133209
Korean_2.6	7	-3.31178307533	-2.79994034767	-3.82485437393	-3.79686689377	-3.95861339569
Korean_2.6	8	-2.72207641602	-2.49081134796	4.62397289276	4.99601984024	4.80240535736
Korean_2.6	9	-1.77079665661	-1.97900795937	15.1428728104	15.9202365875	15.7309875488
Korean_2.6	10	0.185170158744	-0.810548305511	32.5381355286	33.9139556885	33.8197364807
Bambara_2.6	0	1.62223958969	-0.568120598793	-44.5131950378	-44.9776191711	-44.8012924194
Bambara_2.6	1	-0.864964723587	-1.20247709751	-43.6031227112	-44.063331604	-43.8890686035
Bambara_2.6	2	-1.95467793941	-1.42110931873	-41.6408195496	-42.0306816101	-41.8944549561
Bambara_2.6	3	-2.72336745262	-1.62143242359	-38.6768989563	-39.0103034973	-38.8745269775
Bambara_2.6	4	-3.24437260628	-1.65589666367	-34.6262779236	-34.8855705261	-34.7582130432
Bambara_2.6	5	-3.56151819229	-1.63327944279	-29.6655902863	-29.8466739655	-29.7415180206
Bambara_2.6	6	-3.67717695236	-1.43295633793	-23.4523429871	-23.5412139893	-23.4614963531
Bambara_2.6	7	-3.59167003632	-1.20247709751	-15.5869684219	-15.579372406	-15.5530424118
Bambara_2.6	8	-3.28809189796	-0.801830887794	-5.19493818283	-5.0560464859	-5.07915973663
Bambara_2.6	9	-2.73855209351	-0.281637042761	9.60743141174	9.89820861816	9.80613899231
Bambara_2.6	10	-1.62223958969	0.568120598793	44.5131950378	44.9776191711	44.8012924194
Mbya_Guarani_2.6	0	-0.0413885712624	-0.00307692307979	-18.1154651642	-18.2465457916	-18.1462345123
Mbya_Guarani_2.6	1	-0.332695543766	-0.227854251862	-17.1473674774	-17.2730445862	-17.1813774109
Mbya_Guarani_2.6	2	-0.332695543766	-0.227854251862	-15.5774898529	-15.6960296631	-15.6134414673
Mbya_Guarani_2.6	3	-0.332695543766	-0.227854251862	-13.6448583603	-13.7475004196	-13.6817817688
Mbya_Guarani_2.6	4	-0.332695543766	-0.227854251862	-11.3533601761	-11.4505653381	-11.3899593353
Mbya_Guarani_2.6	5	-0.332695513964	-0.227854251862	-8.65829944611	-8.73670196533	-8.6926317215
Mbya_Guarani_2.6	6	-0.332695543766	-0.227854251862	-5.39611339569	-5.4571480751	-5.42591094971
Mbya_Guarani_2.6	7	-0.332695543766	-0.227854251862	-1.57133603096	-1.60873162746	-1.60016191006
Mbya_Guarani_2.6	8	-0.332695543766	-0.227854251862	3.07805657387	3.06805157661	3.05732798576
Mbya_Guarani_2.6	9	-0.332695543766	-0.227854251862	8.92129516602	8.94539737701	8.9141702652
Mbya_Guarani_2.6	10	0.0413885712624	0.00307692307979	18.1154651642	18.2465457916	18.1462345123
Welsh_2.6	0	1.86235284805	-0.980709373951	-44.6471672058	-45.1872634888	-44.4785308838
Welsh_2.6	1	-0.796622216702	-1.95146238804	-43.539516449	-44.0797233582	-43.2713127136
Welsh_2.6	2	-2.50024795532	-2.36216545105	-41.4523963928	-41.9847145081	-41.09582901
Welsh_2.6	3	-3.68880295753	-2.56253886223	-38.0448036194	-38.5276947021	-37.606098175
Welsh_2.6	4	-4.45599460602	-2.76166772842	-33.0342254639	-33.44506073	-32.5594291687
Welsh_2.6	5	-4.96919822693	-2.77286863327	-26.4891109467	-26.7938308716	-26.0640945435
Welsh_2.6	6	-5.3078083992	-2.77286863327	-18.246421814	-18.4145793915	-17.9321708679
Welsh_2.6	7	-5.46970748901	-2.65463590622	-8.18419456482	-8.18673419952	-7.94710636139
Welsh_2.6	8	-5.36865997314	-2.39825773239	4.37958908081	4.49015045166	4.49222135544
Welsh_2.6	9	-4.82708454132	-1.77722465992	20.1057872772	20.3842754364	19.9794654846
Welsh_2.6	10	-1.86235284805	0.980709373951	44.6471672058	45.1872634888	44.4785308838
Thai_2.6	0	2.07733726501	-0.479950636625	-55.1073417664	-55.9056854248	-55.2924118042
Thai_2.6	1	-0.309469401836	-1.40777301788	-51.784702301	-52.533908844	-51.9660720825
Thai_2.6	2	-1.82529580593	-1.83466994762	-46.0956192017	-46.7638702393	-46.2634162903
Thai_2.6	3	-2.90279436111	-2.06662559509	-38.9099311829	-39.462802887	-39.0518188477
Thai_2.6	4	-3.66693711281	-2.26650214195	-30.5163478851	-30.9475536346	-30.6286239624
Thai_2.6	5	-4.17743635178	-2.30968546867	-21.0037021637	-21.2938632965	-21.0826644897
Thai_2.6	6	-4.48301935196	-2.30968546867	-10.2609500885	-10.3890752792	-10.3028993607
Thai_2.6	7	-4.58775806427	-2.22085142136	2.00061678886	2.06986665726	1.99444782734
Thai_2.6	8	-4.47820615768	-2.00493526459	15.9870452881	16.2509346008	16.051202774
Thai_2.6	9	-4.04703569412	-1.47933375835	32.3658218384	32.8640899658	32.4830360413
Thai_2.6	10	-2.07733726501	0.479950636625	55.1073417664	55.9056854248	55.2924118042
Slovak_2.6	0	-0.415142297745	-0.902750492096	-20.2621383667	-20.9208545685	-19.7998886108
Slovak_2.6	1	-1.86060535908	-1.7652258873	-19.6269989014	-20.2779273987	-19.1742916107
Slovak_2.6	2	-2.61309742928	-2.10342407227	-18.4167842865	-19.0474052429	-17.9778270721
Slovak_2.6	3	-3.08074522018	-2.30325579643	-16.6730289459	-17.2486915588	-16.2719612122
Slovak_2.6	4	-3.33357071877	-2.31279826164	-14.4010667801	-14.896774292	-14.0454673767
Slovak_2.6	5	-3.40075397491	-2.31223678589	-11.5503787994	-11.9509277344	-11.2582092285
Slovak_2.6	6	-3.27735877037	-2.11240530014	-8.05304527283	-8.32769012451	-7.81700801849
Slovak_2.6	7	-3.00817370415	-1.89657592773	-3.68425488472	-3.82604074478	-3.57676124573
Slovak_2.6	8	-2.55085325241	-1.49691271782	1.75806903839	1.79204452038	1.73645806313
Slovak_2.6	9	-1.81126987934	-0.893488645554	8.79006481171	9.06642436981	8.58489990234
Slovak_2.6	10	0.415142297745	0.902750492096	20.2621383667	20.9208545685	19.7998886108
Arabic_2.6	0	0.229951784015	-0.18733753264	-111.910400391	-111.939224243	-111.792381287
Arabic_2.6	1	-0.677519381046	-0.3717854321	-107.856544495	-107.883377075	-107.747116089
Arabic_2.6	2	-0.677519381046	-0.3717854321	-99.7969818115	-99.8206710815	-99.7007980347
Arabic_2.6	3	-0.677519381046	-0.3717854321	-88.981880188	-89.0028152466	-88.900352478
Arabic_2.6	4	-0.677519381046	-0.3717854321	-75.6247940063	-75.6424026489	-75.5585250854
Arabic_2.6	5	-0.677519381046	-0.3717854321	-59.7270202637	-59.7405166626	-59.6771202087
Arabic_2.6	6	-0.677519381046	-0.3717854321	-40.827999115	-40.8375701904	-40.7957267761
Arabic_2.6	7	-0.677519381046	-0.3717854321	-18.3188838959	-18.3234500885	-18.3062839508
Arabic_2.6	8	-0.677519381046	-0.3717854321	9.0923500061	9.09378623962	9.07830619812
Arabic_2.6	9	-0.677519381046	-0.3717854321	44.8640518188	44.8736686707	44.8136177063
Arabic_2.6	10	-0.229951784015	0.18733753264	111.910400391	111.939224243	111.792381287
Japanese_2.6	0	0.157793179154	0.214631304145	-112.267242432	-112.538543701	-112.488365173
Japanese_2.6	1	-0.63222694397	-0.453432291746	-109.735618591	-109.996704102	-109.95009613
Japanese_2.6	2	-0.63222694397	-0.453432291746	-104.389480591	-104.627685547	-104.587165833
Japanese_2.6	3	-0.632226884365	-0.453432291746	-96.4522247314	-96.6588058472	-96.6246490479
Japanese_2.6	4	-0.632226884365	-0.453432291746	-85.787902832	-85.9523468018	-85.9269943237
Japanese_2.6	5	-0.63222694397	-0.453432291746	-71.8746643066	-71.990447998	-71.975692749
Japanese_2.6	6	-0.632227003574	-0.453432291746	-54.0199165344	-54.0807304382	-54.0759086609
Japanese_2.6	7	-0.63222694397	-0.453432291746	-31.1551265717	-31.1556110382	-31.1619338989
Japanese_2.6	8	-0.63222694397	-0.453432291746	-1.08314776421	-1.01321613789	-1.03197240829
Japanese_2.6	9	-0.632226884365	-0.453432291746	40.4565658569	40.6033668518	40.5700798035
Japanese_2.6	10	-0.157793179154	-0.214631304145	112.267242432	112.538543701	112.488365173
Persian_2.6	0	-2.06638479233	-3.55074095726	-117.848968506	-120.391189575	-120.16608429
Persian_2.6	1	-5.66310548782	-4.93664455414	-115.222419739	-117.649780273	-117.409889221
Persian_2.6	2	-7.47369623184	-5.29777145386	-109.169700623	-111.35005188	-111.086547852
Persian_2.6	3	-8.54328155518	-5.42538738251	-99.9607391357	-101.781906128	-101.528450012
Persian_2.6	4	-9.03541374207	-5.33080673218	-87.4896469116	-88.8699951172	-88.6199798584
Persian_2.6	5	-9.05889797211	-5.03371429443	-71.6876373291	-72.5839691162	-72.3989105225
Persian_2.6	6	-8.61452579498	-4.51917648315	-52.2481040955	-52.6107902527	-52.4462051392
Persian_2.6	7	-7.70048666	-3.743070364	-28.1926689148	-27.9357032776	-27.8067646027
Persian_2.6	8	-6.20521783829	-2.56963467598	2.37436366081	3.33216428757	3.38567709923
Persian_2.6	9	-3.76450610161	-0.675302624702	43.7684135437	45.5517158508	45.4872741699
Persian_2.6	10	2.06638479233	3.55074095726	117.848968506	120.391189575	120.16608429
Faroese_2.6	0	-0.208072155714	-0.709134638309	-12.5488786697	-12.7405519485	-12.8389425278
Faroese_2.6	1	-1.16422665119	-1.42868590355	-11.8902244568	-12.0811624527	-12.178686142
