Language	Model	Fraction	DepLen
Czech_2.6	5437532	0.4205	46.866
Czech_2.6	5437532	0.4205	46.866
Czech_2.6	5437532	0.4205	46.866
Czech_2.6	5437532	0.52	46.866
Czech_2.6	5437532	0.52	46.866
Czech_2.6	5437532	0.52	46.866
Czech_2.6	5437532	0.5335	46.866
Czech_2.6	5437532	0.5455	46.866
Czech_2.6	5437532	0.4205	46.866
Czech_2.6	5441977	0.418	44.219
Czech_2.6	5441977	0.418	44.219
Czech_2.6	5441977	0.418	44.219
Czech_2.6	5441977	0.531	44.219
Czech_2.6	5441977	0.531	44.219
Czech_2.6	5441977	0.531	44.219
Czech_2.6	5441977	0.531	44.219
Czech_2.6	5441977	0.544	44.219
Czech_2.6	5441977	0.3875	44.219
Czech_2.6	5737859	0.443	50.77
Czech_2.6	5737859	0.443	50.77
Czech_2.6	5737859	0.443	50.77
Czech_2.6	5737859	0.542	50.77
Czech_2.6	5737859	0.542	50.77
Czech_2.6	5737859	0.542	50.77
Czech_2.6	5737859	0.542	50.77
Czech_2.6	5737859	0.554	50.77
Czech_2.6	5737859	0.4235	50.77
Dutch_2.6	1968864	0.415	37.878
Dutch_2.6	1968864	0.415	37.878
Dutch_2.6	1968864	0.54	37.878
Dutch_2.6	1968864	0.54	37.878
Dutch_2.6	1968864	0.54	37.878
Dutch_2.6	1968864	0.5535	37.878
Dutch_2.6	1968864	0.54	37.878
Dutch_2.6	1968864	0.374	37.878
Dutch_2.6	2403344	0.431	34.372
Dutch_2.6	2403344	0.431	34.372
Dutch_2.6	2403344	0.431	34.372
Dutch_2.6	2403344	0.4475	34.372
Dutch_2.6	2403344	0.431	34.372
Dutch_2.6	2403344	0.2985	34.372
Dutch_2.6	2403344	0.2985	34.372
Dutch_2.6	2403344	0.2985	34.372
Dutch_2.6	2403344	0.2585	34.372
Dutch_2.6	2643570	0.4535	34.375
Dutch_2.6	2643570	0.4535	34.375
Dutch_2.6	2643570	0.4535	34.375
Dutch_2.6	2643570	0.3175	34.375
Dutch_2.6	2643570	0.3175	34.375
Dutch_2.6	2643570	0.3175	34.375
Dutch_2.6	2643570	0.4775	34.375
Dutch_2.6	2643570	0.4925	34.375
Dutch_2.6	2643570	0.3175	34.375
Dutch_2.6	2672920	0.5175	35.125
Dutch_2.6	2672920	0.5175	35.125
Dutch_2.6	2672920	0.5175	35.125
Dutch_2.6	2672920	0.637	35.125
Dutch_2.6	2672920	0.637	35.125
Dutch_2.6	2672920	0.637	35.125
Dutch_2.6	2672920	0.457	35.125
Dutch_2.6	2672920	0.651	35.125
Dutch_2.6	2672920	0.637	35.125
Dutch_2.6	3703281	0.492	35.0835
Dutch_2.6	3703281	0.492	35.0835
Dutch_2.6	3703281	0.492	35.0835
Dutch_2.6	3703281	0.6175	35.0835
Dutch_2.6	3703281	0.6175	35.0835
Dutch_2.6	3703281	0.6175	35.0835
Dutch_2.6	3703281	0.631	35.0835
Dutch_2.6	3703281	0.435	35.0835
Dutch_2.6	3703281	0.6175	35.0835
Dutch_2.6	4141986	0.438	37.584
Dutch_2.6	4141986	0.438	37.584
Dutch_2.6	4141986	0.5655	37.584
Dutch_2.6	4141986	0.5655	37.584
Dutch_2.6	4141986	0.5655	37.584
Dutch_2.6	4141986	0.586	37.584
Dutch_2.6	4141986	0.438	37.584
Dutch_2.6	4141986	0.6095	37.584
Dutch_2.6	6535253	0.4535	42.788
Dutch_2.6	6535253	0.4535	42.788
Dutch_2.6	6535253	0.4535	42.788
Dutch_2.6	6535253	0.4535	42.788
Dutch_2.6	6535253	0.5695	42.788
Dutch_2.6	6535253	0.5695	42.788
Dutch_2.6	6535253	0.5695	42.788
Dutch_2.6	6535253	0.5695	42.788
Dutch_2.6	6535253	0.443	42.788
Dutch_2.6	6535253	0.5755	42.788
Dutch_2.6	6535253	0.437	42.788
Dutch_2.6	6535253	0.5695	42.788
Dutch_2.6	6535253	0.437	42.788
Dutch_2.6	6535253	0.602	42.788
Dutch_2.6	7799686	0.432	39.188
Dutch_2.6	7799686	0.432	39.188
Dutch_2.6	7799686	0.432	39.188
Dutch_2.6	7799686	0.5645	39.188
Dutch_2.6	7799686	0.5645	39.188
Dutch_2.6	7799686	0.5645	39.188
Dutch_2.6	7799686	0.578	39.188
Dutch_2.6	7799686	0.5645	39.188
Dutch_2.6	7799686	0.3945	39.188
Dutch_2.6	850595	0.511	35.19
Dutch_2.6	850595	0.511	35.19
Dutch_2.6	850595	0.511	35.19
Dutch_2.6	850595	0.621	35.19
Dutch_2.6	850595	0.621	35.19
Dutch_2.6	850595	0.621	35.19
Dutch_2.6	850595	0.6305	35.19
Dutch_2.6	850595	0.4525	35.19
Dutch_2.6	850595	0.621	35.19
Dutch_2.6	8522429	0.4645	36.986
Dutch_2.6	8522429	0.4645	36.986
Dutch_2.6	8522429	0.4645	36.986
Dutch_2.6	8522429	0.3245	36.986
Dutch_2.6	8522429	0.3245	36.986
Dutch_2.6	8522429	0.4935	36.986
Dutch_2.6	8522429	0.5035	36.986
Dutch_2.6	8522429	0.3245	36.986
Dutch_2.6	8539208	0.4205	37.9875
Dutch_2.6	8539208	0.4205	37.9875
Dutch_2.6	8539208	0.4205	37.9875
Dutch_2.6	8539208	0.558	37.9875
Dutch_2.6	8539208	0.558	37.9875
Dutch_2.6	8539208	0.558	37.9875
Dutch_2.6	8539208	0.5835	37.9875
Dutch_2.6	8539208	0.603	37.9875
Dutch_2.6	8539208	0.4205	37.9875
Finnish_2.6	2079737	0.545	25.8515
Finnish_2.6	2079737	0.545	25.8515
Finnish_2.6	2079737	0.388	25.8515
Finnish_2.6	2079737	0.388	25.8515
Finnish_2.6	2079737	0.388	25.8515
Finnish_2.6	2079737	0.5565	25.8515
Finnish_2.6	2079737	0.545	25.8515
Finnish_2.6	2079737	0.3345	25.8515
Finnish_2.6	2846910	0.411	25.826
Finnish_2.6	2846910	0.411	25.826
Finnish_2.6	2846910	0.411	25.826
Finnish_2.6	2846910	0.6425	25.826
Finnish_2.6	2846910	0.6425	25.826
Finnish_2.6	2846910	0.659	25.826
Finnish_2.6	2846910	0.6425	25.826
Finnish_2.6	2846910	0.3525	25.826
Finnish_2.6	3239078	0.3415	25.136
Finnish_2.6	3239078	0.3415	25.136
Finnish_2.6	3239078	0.3415	25.136
Finnish_2.6	3239078	0.56	25.136
Finnish_2.6	3239078	0.56	25.136
Finnish_2.6	3239078	0.6085	25.136
Finnish_2.6	3239078	0.62	25.136
Finnish_2.6	3239078	0.3415	25.136
Finnish_2.6	4330023	0.4655	22.9925
Finnish_2.6	4330023	0.4655	22.9925
Finnish_2.6	4330023	0.4975	22.9925
Finnish_2.6	4330023	0.2795	22.9925
Finnish_2.6	4330023	0.2795	22.9925
Finnish_2.6	4330023	0.2795	22.9925
Finnish_2.6	4330023	0.5235	22.9925
Finnish_2.6	4330023	0.2795	22.9925
Finnish_2.6	4480802	0.537	22.9795
Finnish_2.6	4480802	0.537	22.9795
Finnish_2.6	4480802	0.374	22.9795
Finnish_2.6	4480802	0.374	22.9795
Finnish_2.6	4480802	0.374	22.9795
Finnish_2.6	4480802	0.55	22.9795
Finnish_2.6	4480802	0.537	22.9795
Finnish_2.6	4480802	0.3205	22.9795
Finnish_2.6	5506322	0.537	23.495
Finnish_2.6	5506322	0.537	23.495
Finnish_2.6	5506322	0.395	23.495
Finnish_2.6	5506322	0.395	23.495
Finnish_2.6	5506322	0.395	23.495
Finnish_2.6	5506322	0.55	23.495
Finnish_2.6	5506322	0.537	23.495
Finnish_2.6	5506322	0.34	23.495
Finnish_2.6	6149501	0.4145	25.856
Finnish_2.6	6149501	0.4145	25.856
Finnish_2.6	6149501	0.5715	25.856
Finnish_2.6	6149501	0.5715	25.856
Finnish_2.6	6149501	0.5845	25.856
Finnish_2.6	6149501	0.5715	25.856
Finnish_2.6	6149501	0.362	25.856
Finnish_2.6	7235088	0.416	25.6665
Finnish_2.6	7235088	0.416	25.6665
Finnish_2.6	7235088	0.416	25.6665
Finnish_2.6	7235088	0.5695	25.6665
Finnish_2.6	7235088	0.5695	25.6665
Finnish_2.6	7235088	0.5875	25.6665
Finnish_2.6	7235088	0.5695	25.6665
Finnish_2.6	7235088	0.36	25.6665
Finnish_2.6	796006	0.3935	25.526
Finnish_2.6	796006	0.3935	25.526
Finnish_2.6	796006	0.3935	25.526
Finnish_2.6	796006	0.625	25.526
Finnish_2.6	796006	0.625	25.526
Finnish_2.6	796006	0.643	25.526
Finnish_2.6	796006	0.625	25.526
Finnish_2.6	796006	0.3395	25.526
Finnish_2.6	8809429	0.4865	23.1635
Finnish_2.6	8809429	0.4865	23.1635
Finnish_2.6	8809429	0.3375	23.1635
Finnish_2.6	8809429	0.3375	23.1635
Finnish_2.6	8809429	0.5155	23.1635
Finnish_2.6	8809429	0.5385	23.1635
Finnish_2.6	8809429	0.3375	23.1635
Finnish_2.6	9146556	0.3825	27.948
Finnish_2.6	9146556	0.6095	27.948
Finnish_2.6	9146556	0.6205	27.948
Finnish_2.6	9146556	0.363	27.948
Finnish_2.6	9146556	0.3645	27.948
Finnish_2.6	9146556	0.6095	27.948
Finnish_2.6	9146556	0.651	27.948
Finnish_2.6	9146556	0.3615	27.948
French_2.6	1633427	0.4745	65.8395
French_2.6	1633427	0.4745	65.8395
French_2.6	1633427	0.4745	65.8395
French_2.6	1633427	0.4745	65.8395
French_2.6	1633427	0.4755	65.8395
French_2.6	1633427	0.4835	65.8395
French_2.6	1633427	0.3745	65.8395
French_2.6	1633427	0.3745	65.8395
French_2.6	1633427	0.3745	65.8395
French_2.6	1633427	0.3745	65.8395
French_2.6	1633427	0.3745	65.8395
French_2.6	1633427	0.4745	65.8395
French_2.6	1633427	0.336	65.8395
French_2.6	4235509	0.4315	72.2975
French_2.6	4235509	0.4315	72.2975
French_2.6	4235509	0.4315	72.2975
French_2.6	4235509	0.4315	72.2975
French_2.6	4235509	0.432	72.2975
French_2.6	4235509	0.439	72.2975
French_2.6	4235509	0.363	72.2975
French_2.6	4235509	0.363	72.2975
French_2.6	4235509	0.363	72.2975
French_2.6	4235509	0.363	72.2975
French_2.6	4235509	0.363	72.2975
French_2.6	4235509	0.456	72.2975
French_2.6	4235509	0.363	72.2975
French_2.6	4416662	0.484	66.5455
French_2.6	4416662	0.484	66.5455
French_2.6	4416662	0.484	66.5455
French_2.6	4416662	0.484	66.5455
French_2.6	4416662	0.485	66.5455
French_2.6	4416662	0.3845	66.5455
French_2.6	4416662	0.3845	66.5455
French_2.6	4416662	0.3845	66.5455
French_2.6	4416662	0.3845	66.5455
French_2.6	4416662	0.3845	66.5455
French_2.6	4416662	0.4915	66.5455
French_2.6	4416662	0.484	66.5455
French_2.6	4416662	0.346	66.5455
French_2.6	5293820	0.4295	70.286
French_2.6	5293820	0.4295	70.286
French_2.6	5293820	0.4295	70.286
French_2.6	5293820	0.4295	70.286
French_2.6	5293820	0.43	70.286
French_2.6	5293820	0.436	70.286
French_2.6	5293820	0.4295	70.286
French_2.6	5293820	0.363	70.286
French_2.6	5293820	0.363	70.286
French_2.6	5293820	0.363	70.286
French_2.6	5293820	0.363	70.286
French_2.6	5293820	0.363	70.286
French_2.6	5293820	0.338	70.286
French_2.6	7984464	0.4215	72.6955
French_2.6	7984464	0.4215	72.6955
French_2.6	7984464	0.4215	72.6955
French_2.6	7984464	0.4215	72.6955
French_2.6	7984464	0.4225	72.6955
French_2.6	7984464	0.43	72.6955
French_2.6	7984464	0.4445	72.6955
French_2.6	7984464	0.351	72.6955
French_2.6	7984464	0.351	72.6955
French_2.6	7984464	0.351	72.6955
French_2.6	7984464	0.351	72.6955
French_2.6	7984464	0.351	72.6955
French_2.6	7984464	0.351	72.6955
French_2.6	9127108	0.438	79.4175
French_2.6	9127108	0.438	79.4175
French_2.6	9127108	0.438	79.4175
French_2.6	9127108	0.438	79.4175
French_2.6	9127108	0.438	79.4175
French_2.6	9127108	0.4485	79.4175
French_2.6	9127108	0.351	79.4175
French_2.6	9127108	0.351	79.4175
French_2.6	9127108	0.351	79.4175
French_2.6	9127108	0.351	79.4175
French_2.6	9127108	0.351	79.4175
French_2.6	9127108	0.4645	79.4175
French_2.6	9127108	0.351	79.4175
German_2.6	2670379	0.334	34.948
German_2.6	2670379	0.334	34.948
German_2.6	2670379	0.334	34.948
German_2.6	2670379	0.3635	34.948
German_2.6	2670379	0.2585	34.948
German_2.6	2670379	0.2585	34.948
German_2.6	2670379	0.2585	34.948
German_2.6	2670379	0.2585	34.948
German_2.6	2670379	0.394	34.948
German_2.6	2670379	0.2585	34.948
German_2.6	3081387	0.43	39.918
German_2.6	3081387	0.43	39.918
German_2.6	3081387	0.43	39.918
German_2.6	3081387	0.43	39.918
German_2.6	3081387	0.504	39.918
German_2.6	3081387	0.504	39.918
German_2.6	3081387	0.504	39.918
German_2.6	3081387	0.504	39.918
German_2.6	3081387	0.532	39.918
German_2.6	3081387	0.549	39.918
German_2.6	3081387	0.43	39.918
German_2.6	4045729	0.493	36.9455
German_2.6	4045729	0.493	36.9455
German_2.6	4045729	0.493	36.9455
German_2.6	4045729	0.493	36.9455
German_2.6	4045729	0.5425	36.9455
German_2.6	4045729	0.5425	36.9455
German_2.6	4045729	0.5425	36.9455
German_2.6	4045729	0.5425	36.9455
German_2.6	4045729	0.579	36.9455
German_2.6	4045729	0.493	36.9455
German_2.6	4045729	0.63	36.9455
German_2.6	4730270	0.4295	37.4735
German_2.6	4730270	0.4295	37.4735
German_2.6	4730270	0.4295	37.4735
German_2.6	4730270	0.4295	37.4735
German_2.6	4730270	0.504	37.4735
German_2.6	4730270	0.504	37.4735
German_2.6	4730270	0.504	37.4735
German_2.6	4730270	0.5215	37.4735
German_2.6	4730270	0.504	37.4735
German_2.6	4730270	0.3565	37.4735
German_2.6	6549015	0.483	40.403
German_2.6	6549015	0.483	40.403
German_2.6	6549015	0.483	40.403
German_2.6	6549015	0.5545	40.403
German_2.6	6549015	0.5545	40.403
German_2.6	6549015	0.5545	40.403
German_2.6	6549015	0.5545	40.403
German_2.6	6549015	0.574	40.403
German_2.6	6549015	0.5545	40.403
German_2.6	6549015	0.439	40.403
German_2.6	7465563	0.4585	36.68
German_2.6	7465563	0.4585	36.68
German_2.6	7465563	0.4585	36.68
German_2.6	7465563	0.53	36.68
German_2.6	7465563	0.53	36.68
German_2.6	7465563	0.53	36.68
German_2.6	7465563	0.53	36.68
German_2.6	7465563	0.5595	36.68
German_2.6	7465563	0.4585	36.68
German_2.6	7465563	0.627	36.68
Hindi_2.6	13735	0.458	50.8315
Hindi_2.6	13735	0.458	50.8315
Hindi_2.6	13735	0.458	50.8315
Hindi_2.6	13735	0.533	50.8315
Hindi_2.6	13735	0.533	50.8315
Hindi_2.6	13735	0.533	50.8315
Hindi_2.6	13735	0.537	50.8315
Hindi_2.6	13735	0.533	50.8315
Hindi_2.6	13735	0.4265	50.8315
Hindi_2.6	1583336	0.3645	43.746
Hindi_2.6	1583336	0.3645	43.746
Hindi_2.6	1583336	0.3645	43.746
Hindi_2.6	1583336	0.444	43.746
Hindi_2.6	1583336	0.444	43.746
Hindi_2.6	1583336	0.444	43.746
Hindi_2.6	1583336	0.4505	43.746
Hindi_2.6	1583336	0.486	43.746
Hindi_2.6	1583336	0.3645	43.746
Hindi_2.6	2117564	0.394	43.482
Hindi_2.6	2117564	0.394	43.482
Hindi_2.6	2117564	0.394	43.482
Hindi_2.6	2117564	0.487	43.482
Hindi_2.6	2117564	0.487	43.482
Hindi_2.6	2117564	0.487	43.482
Hindi_2.6	2117564	0.492	43.482
Hindi_2.6	2117564	0.487	43.482
Hindi_2.6	2117564	0.346	43.482
Hindi_2.6	2720506	0.4125	53.8765
Hindi_2.6	2720506	0.4125	53.8765
Hindi_2.6	2720506	0.4125	53.8765
Hindi_2.6	2720506	0.4875	53.8765
Hindi_2.6	2720506	0.4875	53.8765
Hindi_2.6	2720506	0.4875	53.8765
Hindi_2.6	2720506	0.4935	53.8765
Hindi_2.6	2720506	0.52	53.8765
Hindi_2.6	2720506	0.4125	53.8765
Hindi_2.6	3928314	0.422	43.1765
Hindi_2.6	3928314	0.422	43.1765
Hindi_2.6	3928314	0.422	43.1765
Hindi_2.6	3928314	0.526	43.1765
Hindi_2.6	3928314	0.526	43.1765
Hindi_2.6	3928314	0.526	43.1765
Hindi_2.6	3928314	0.532	43.1765
Hindi_2.6	3928314	0.526	43.1765
Hindi_2.6	3928314	0.3645	43.1765
Hindi_2.6	5957239	0.387	44.2635
Hindi_2.6	5957239	0.387	44.2635
Hindi_2.6	5957239	0.387	44.2635
Hindi_2.6	5957239	0.4715	44.2635
Hindi_2.6	5957239	0.4715	44.2635
Hindi_2.6	5957239	0.4715	44.2635
Hindi_2.6	5957239	0.4785	44.2635
Hindi_2.6	5957239	0.5085	44.2635
Hindi_2.6	5957239	0.387	44.2635
Hindi_2.6	655734	0.417	43.343
Hindi_2.6	655734	0.417	43.343
Hindi_2.6	655734	0.417	43.343
Hindi_2.6	655734	0.5085	43.343
Hindi_2.6	655734	0.5085	43.343
Hindi_2.6	655734	0.5085	43.343
Hindi_2.6	655734	0.514	43.343
Hindi_2.6	655734	0.5085	43.343
Hindi_2.6	655734	0.365	43.343
Hindi_2.6	7135700	0.4055	43.4715
Hindi_2.6	7135700	0.4055	43.4715
Hindi_2.6	7135700	0.4055	43.4715
Hindi_2.6	7135700	0.4975	43.4715
Hindi_2.6	7135700	0.4975	43.4715
Hindi_2.6	7135700	0.4975	43.4715
Hindi_2.6	7135700	0.5035	43.4715
Hindi_2.6	7135700	0.4975	43.4715
Hindi_2.6	7135700	0.3545	43.4715
Hindi_2.6	7449233	0.429	44.0475
Hindi_2.6	7449233	0.429	44.0475
Hindi_2.6	7449233	0.429	44.0475
Hindi_2.6	7449233	0.5235	44.0475
Hindi_2.6	7449233	0.5235	44.0475
Hindi_2.6	7449233	0.5235	44.0475
Hindi_2.6	7449233	0.535	44.0475
Hindi_2.6	7449233	0.5235	44.0475
Hindi_2.6	7449233	0.391	44.0475
Hindi_2.6	9007404	0.4435	44.16
Hindi_2.6	9007404	0.4435	44.16
Hindi_2.6	9007404	0.5115	44.16
Hindi_2.6	9007404	0.5115	44.16
Hindi_2.6	9007404	0.5115	44.16
Hindi_2.6	9007404	0.5185	44.16
Hindi_2.6	9007404	0.5115	44.16
Hindi_2.6	9007404	0.397	44.16
Norwegian_2.6	2354565	0.4405	37.626
Norwegian_2.6	2354565	0.4405	37.626
Norwegian_2.6	2354565	0.4405	37.626
Norwegian_2.6	2354565	0.566	37.626
Norwegian_2.6	2354565	0.566	37.626
Norwegian_2.6	2354565	0.566	37.626
Norwegian_2.6	2354565	0.593	37.626
Norwegian_2.6	2354565	0.4405	37.626
Norwegian_2.6	2354565	0.621	37.626
Norwegian_2.6	7398776	0.44	43.1985
Norwegian_2.6	7398776	0.44	43.1985
Norwegian_2.6	7398776	0.44	43.1985
Norwegian_2.6	7398776	0.5625	43.1985
Norwegian_2.6	7398776	0.5625	43.1985
Norwegian_2.6	7398776	0.5625	43.1985
Norwegian_2.6	7398776	0.574	43.1985
Norwegian_2.6	7398776	0.5625	43.1985
Norwegian_2.6	7398776	0.3915	43.1985
Spanish_2.6	3969006	0.497	83.5795
Spanish_2.6	3969006	0.497	83.5795
Spanish_2.6	3969006	0.497	83.5795
Spanish_2.6	3969006	0.497	83.5795
Spanish_2.6	3969006	0.497	83.5795
Spanish_2.6	3969006	0.5475	83.5795
Spanish_2.6	3969006	0.5475	83.5795
Spanish_2.6	3969006	0.5475	83.5795
Spanish_2.6	3969006	0.5535	83.5795
Spanish_2.6	3969006	0.5475	83.5795
Spanish_2.6	3969006	0.47	83.5795
Spanish_2.6	4354448	0.5	109.23
Spanish_2.6	4354448	0.5	109.23
Spanish_2.6	4354448	0.5	109.23
Spanish_2.6	4354448	0.529	109.23
Spanish_2.6	4354448	0.529	109.23
Spanish_2.6	4354448	0.529	109.23
Spanish_2.6	4354448	0.4995	109.23
Spanish_2.6	4354448	0.4995	109.23
Spanish_2.6	4354448	0.5295	109.23
Spanish_2.6	4354448	0.529	109.23
Spanish_2.6	4354448	0.494	109.23
Spanish_2.6	4354448	0.497	109.23
Spanish_2.6	4354448	0.531	109.23
Spanish_2.6	4354448	0.529	109.23
Spanish_2.6	4354448	0.494	109.23
Spanish_2.6	4354448	0.536	109.23
Spanish_2.6	6039611	0.3725	72.9085
Spanish_2.6	6039611	0.3725	72.9085
Spanish_2.6	6039611	0.3725	72.9085
Spanish_2.6	6039611	0.3735	72.9085
Spanish_2.6	6039611	0.3975	72.9085
Spanish_2.6	6039611	0.3885	72.9085
Spanish_2.6	6039611	0.3235	72.9085
Spanish_2.6	6039611	0.3235	72.9085
Spanish_2.6	6039611	0.3235	72.9085
Spanish_2.6	6039611	0.3235	72.9085
Spanish_2.6	6039611	0.3235	72.9085
Spanish_2.6	631212	0.4445	73.5295
Spanish_2.6	631212	0.4445	73.5295
Spanish_2.6	631212	0.4445	73.5295
Spanish_2.6	631212	0.4445	73.5295
Spanish_2.6	631212	0.497	73.5295
Spanish_2.6	631212	0.497	73.5295
Spanish_2.6	631212	0.497	73.5295
Spanish_2.6	631212	0.497	73.5295
Spanish_2.6	631212	0.497	73.5295
Spanish_2.6	631212	0.5065	73.5295
Spanish_2.6	631212	0.417	73.5295
Spanish_2.6	780906	0.4155	76.461
Spanish_2.6	780906	0.4155	76.461
Spanish_2.6	780906	0.4155	76.461
Spanish_2.6	780906	0.4155	76.461
Spanish_2.6	780906	0.375	76.461
Spanish_2.6	780906	0.375	76.461
Spanish_2.6	780906	0.375	76.461
Spanish_2.6	780906	0.375	76.461
Spanish_2.6	780906	0.432	76.461
Spanish_2.6	780906	0.427	76.461
Spanish_2.6	780906	0.375	76.461
Basque_2.6	1466904	0.5285	24.058
Basque_2.6	1466904	0.5285	24.058
Basque_2.6	1466904	0.477	24.058
Basque_2.6	1466904	0.674	24.058
Basque_2.6	1466904	0.674	24.058
Basque_2.6	1466904	0.6745	24.058
Basque_2.6	1466904	0.6835	24.058
Basque_2.6	1466904	0.674	24.058
Basque_2.6	2379174	0.503	23.8085
Basque_2.6	2379174	0.503	23.8085
Basque_2.6	2379174	0.6535	23.8085
Basque_2.6	2379174	0.6535	23.8085
Basque_2.6	2379174	0.6535	23.8085
Basque_2.6	2379174	0.444	23.8085
Basque_2.6	2379174	0.665	23.8085
Basque_2.6	2379174	0.6535	23.8085
Basque_2.6	3999275	0.523	23.129
Basque_2.6	3999275	0.523	23.129
Basque_2.6	3999275	0.474	23.129
Basque_2.6	3999275	0.668	23.129
Basque_2.6	3999275	0.668	23.129
Basque_2.6	3999275	0.668	23.129
Basque_2.6	3999275	0.668	23.129
Basque_2.6	3999275	0.676	23.129
Basque_2.6	5863095	0.5255	23.2385
Basque_2.6	5863095	0.669	23.2385
Basque_2.6	5863095	0.669	23.2385
Basque_2.6	5863095	0.47	23.2385
Basque_2.6	5863095	0.6795	23.2385
Basque_2.6	5863095	0.669	23.2385
Basque_2.6	6104839	0.408	22.8505
Basque_2.6	6104839	0.408	22.8505
Basque_2.6	6104839	0.5805	22.8505
Basque_2.6	6104839	0.5805	22.8505
Basque_2.6	6104839	0.5805	22.8505
Basque_2.6	6104839	0.6185	22.8505
Basque_2.6	6104839	0.408	22.8505
Basque_2.6	6104839	0.635	22.8505
Basque_2.6	6308465	0.465	23.138
Basque_2.6	6308465	0.6255	23.138
Basque_2.6	6308465	0.6255	23.138
Basque_2.6	6308465	0.6255	23.138
Basque_2.6	6308465	0.6255	23.138
Basque_2.6	6308465	0.637	23.138
Basque_2.6	6308465	0.4085	23.138
Basque_2.6	6646360	0.397	22.6405
Basque_2.6	6646360	0.397	22.6405
Basque_2.6	6646360	0.5855	22.6405
Basque_2.6	6646360	0.5855	22.6405
Basque_2.6	6646360	0.621	22.6405
Basque_2.6	6646360	0.641	22.6405
Basque_2.6	6646360	0.397	22.6405
Basque_2.6	6713406	0.4795	22.9355
