Language	Model	Fraction	DepLen
Arabic_2.6	1032465	0.457	180.8045
Arabic_2.6	1032465	0.457	180.8045
Arabic_2.6	1032465	0.457	180.8045
Arabic_2.6	1032465	0.457	180.8045
Arabic_2.6	1032465	0.457	180.8045
Arabic_2.6	1032465	0.4305	180.8045
Arabic_2.6	1032465	0.4305	180.8045
Arabic_2.6	1032465	0.4305	180.8045
Arabic_2.6	1032465	0.4305	180.8045
Arabic_2.6	1032465	0.4305	180.8045
Arabic_2.6	1032465	0.463	180.8045
Arabic_2.6	1032465	0.457	180.8045
Arabic_2.6	1032465	0.4195	180.8045
Arabic_2.6	2599757	0.4525	180.188
Arabic_2.6	2599757	0.4525	180.188
Arabic_2.6	2599757	0.4525	180.188
Arabic_2.6	2599757	0.4525	180.188
Arabic_2.6	2599757	0.422	180.188
Arabic_2.6	2599757	0.422	180.188
Arabic_2.6	2599757	0.422	180.188
Arabic_2.6	2599757	0.422	180.188
Arabic_2.6	2599757	0.422	180.188
Arabic_2.6	2599757	0.4575	180.188
Arabic_2.6	2599757	0.4625	180.188
Arabic_2.6	2599757	0.422	180.188
Arabic_2.6	3224122	0.4865	167.8125
Arabic_2.6	3224122	0.4865	167.8125
Arabic_2.6	3224122	0.4865	167.8125
Arabic_2.6	3224122	0.4865	167.8125
Arabic_2.6	3224122	0.4865	167.8125
Arabic_2.6	3224122	0.4435	167.8125
Arabic_2.6	3224122	0.4435	167.8125
Arabic_2.6	3224122	0.4435	167.8125
Arabic_2.6	3224122	0.4435	167.8125
Arabic_2.6	3224122	0.4925	167.8125
Arabic_2.6	3224122	0.4865	167.8125
Arabic_2.6	3224122	0.417	167.8125
Arabic_2.6	5835101	0.4785	167.437
Arabic_2.6	5835101	0.4785	167.437
Arabic_2.6	5835101	0.4785	167.437
Arabic_2.6	5835101	0.4785	167.437
Arabic_2.6	5835101	0.433	167.437
Arabic_2.6	5835101	0.433	167.437
Arabic_2.6	5835101	0.433	167.437
Arabic_2.6	5835101	0.4815	167.437
Arabic_2.6	5835101	0.4785	167.437
Arabic_2.6	5835101	0.41	167.437
Catalan_2.6	1585743	0.3835	77.9555
Catalan_2.6	1585743	0.4195	77.9555
Catalan_2.6	1585743	0.4195	77.9555
Catalan_2.6	1585743	0.4195	77.9555
Catalan_2.6	1585743	0.3835	77.9555
Catalan_2.6	1585743	0.3835	77.9555
Catalan_2.6	1585743	0.3835	77.9555
Catalan_2.6	1585743	0.3835	77.9555
Catalan_2.6	1585743	0.3835	77.9555
Catalan_2.6	1585743	0.422	77.9555
Catalan_2.6	1585743	0.4505	77.9555
Catalan_2.6	1585743	0.4425	77.9555
Catalan_2.6	1585743	0.3835	77.9555
Czech_2.6	112742	0.412	44.2085
Czech_2.6	112742	0.412	44.2085
Czech_2.6	112742	0.412	44.2085
Czech_2.6	112742	0.5345	44.2085
Czech_2.6	112742	0.5345	44.2085
Czech_2.6	112742	0.5345	44.2085
Czech_2.6	112742	0.5345	44.2085
Czech_2.6	112742	0.543	44.2085
Czech_2.6	112742	0.3865	44.2085
Czech_2.6	3446646	0.4905	44.5945
Czech_2.6	3446646	0.4905	44.5945
Czech_2.6	3446646	0.4905	44.5945
Czech_2.6	3446646	0.3605	44.5945
Czech_2.6	3446646	0.3605	44.5945
Czech_2.6	3446646	0.3605	44.5945
Czech_2.6	3446646	0.52	44.5945
Czech_2.6	3446646	0.507	44.5945
Czech_2.6	3446646	0.3605	44.5945
Czech_2.6	4177303	0.439	50.287
Czech_2.6	4177303	0.439	50.287
Czech_2.6	4177303	0.439	50.287
Czech_2.6	4177303	0.5365	50.287
Czech_2.6	4177303	0.5365	50.287
Czech_2.6	4177303	0.5365	50.287
Czech_2.6	4177303	0.5475	50.287
Czech_2.6	4177303	0.553	50.287
Czech_2.6	4177303	0.439	50.287
