"","Language","description"
"1","Afrikaans_2.6",NA
"2","Amharic_2.6","SOV"
"3","Arabic_2.6","VSO"
"4","Armenian_2.6","No dominant order"
"5","Bambara_2.6","SOV"
"6","Belarusian_2.6","No dominant order"
"7","Breton_2.6","SVO"
"8","Basque_2.6","SOV"
"9","Bulgarian_2.6","SVO"
"10","Buryat_2.6","SOV"
"11","Old_Church_Slavonic_2.6",NA
"12","Cantonese_2.6","SVO"
"13","Coptic_2.6","SVO"
"14","Catalan_2.6","SVO"
"15","Czech_2.6","SVO"
"16","Danish_2.6","SVO"
"17","Dutch_2.6","No dominant order"
"18","English_2.6","SVO"
"19","Estonian_2.6","SVO"
"20","Finnish_2.6","SVO"
"21","French_2.6","SVO"
"22","Scottish_Gaelic_2.6","VSO"
"23","German_2.6","No dominant order"
"24","Gothic_2.6",NA
"25","Ancient_Greek_2.6",NA
"26","Greek_2.6","No dominant order"
"27","Mbya_Guarani_2.6","SVO"
"28","Hebrew_2.6","SVO"
"29","Hindi_2.6","SOV"
"30","Hungarian_2.6","No dominant order"
"31","Icelandic_2.6","SVO"
"32","Indonesian_2.6","SVO"
"33","Irish_2.6","VSO"
"34","Italian_2.6","SVO"
"35","Japanese_2.6","SOV"
"36","Korean_2.6","SOV"
"37","Kurmanji_2.6","SOV"
"38","Latvian_2.6","SVO"
"39","Lithuanian_2.6","SVO"
"40","Chinese_2.6","SVO"
"41","Erzya_2.6","SVO"
"42","Norwegian_2.6","SVO"
"43","Polish_2.6","SVO"
"44","Portuguese_2.6","SVO"
"45","Persian_2.6","SOV"
"46","Romanian_2.6","SVO"
"47","Russian_2.6","SVO"
"48","Serbian_2.6","SVO"
"49","Croatian_2.6","SVO"
"50","Slovak_2.6",NA
"51","Slovenian_2.6","SVO"
"52","North_Sami_2.6","SVO"
"53","Spanish_2.6","SVO"
"54","Upper_Sorbian_2.6","SOV"
"55","Swedish_2.6","SVO"
"56","Thai_2.6","SVO"
"57","Turkish_2.6","SOV"
"58","Ukrainian_2.6","SVO"
"59","Urdu_2.6","SOV"
"60","Uyghur_2.6","SOV"
"61","Vietnamese_2.6","SVO"
"62","Welsh_2.6","VSO"
"63","Wolof_2.6","SVO"
"64","Classical_Chinese_2.6",NA
"65","Naija_2.6",NA
"66","Maltese_2.6",NA
"67","Faroese_2.6",NA
"68","Old_French_2.6",NA
"69","Kazakh_2.6",NA
"70","Galician_2.6",NA
"71","Sanskrit_2.6",NA
"72","Latin_2.6",NA
"73","Old_Russian_2.6",NA
