Language	Model	Congruence_All	Congruence_VN	Congruence_VP	Congruence_V	Congruence_VProp
Swedish_2.6	2065800	0.834217898886	1.0	1.0	0.886975248696	1.0
Thai_2.6	6450370	0.673355855718	1.0	0.0	0.77376874138	0.0
Chinese_2.6	2292461	0.288566721999	0.0	0.0	0.277687298098	0.0
Basque_2.6	2791024	0.614316716438	1.0	0.0	0.666016751673	0.0
Urdu_2.6	8821134	0.113115862644	0.0	0.0	0.0256000343749	0.0
Cantonese_2.6	6625798	0.0978665667507	0.0	0.0	0.00969505178366	0.0
Bulgarian_2.6	1995431	0.100840491611	0.0	0.0	0.0246091461018	1.0
Tamil_2.6	7924814	0.591343600637	1.0	1.0	0.682221207117	1.0
Lithuanian_2.6	1326189	0.732345504236	1.0	0.0	0.779611789805	0.0
Czech_2.6	5452172	0.598765044127	1.0	0.0	0.603277994165	1.0
Tamil_2.6	9112788	0.136235570338	0.0	0.0	0.0626398210291	1.0
Thai_2.6	4690307	0.588616919617	1.0	1.0	0.587136131313	1.0
Danish_2.6	8055853	0.183242444533	0.0	0.0	0.0314579552329	1.0
Coptic_2.6	3205695	0.456121622944	1.0	0.0	0.453320761279	0.0
Norwegian_2.6	5852868	0.189675583203	0.0	0.0	0.186207075167	1.0
Old_French_2.6	7180834	0.502835174815	1.0	1.0	0.503129342695	1.0
Arabic_2.6	4419705	0.67796587734	1.0	0.0	0.723356538509	1.0
Uyghur_2.6	4612431	0.153032640069	0.0	0.0	0.00437889100352	1.0
Arabic_2.6	857214	0.228110925425	0.0	0.0	0.0594541928236	0.0
Kurmanji_2.6	3303238	0.551500806326	1.0	0.0	0.476125101892	1.0
Danish_2.6	7284831	0.162150264545	0.0	0.0	0.0499884706965	0.0
Portuguese_2.6	6034585	0.120724259317	0.0	0.0	0.0607778877933	1.0
Croatian_2.6	8729835	0.701146648009	1.0	1.0	0.733951939958	0.0
Czech_2.6	3880039	0.855138050609	1.0	0.0	0.925985912223	1.0
Bulgarian_2.6	4937975	0.784001044398	1.0	1.0	0.779746179643	1.0
Turkish_2.6	9752392	0.745436657004	1.0	1.0	0.803661264664	0.0
Akkadian_2.7	606474	0.996811902232	1.0	1.0	0.9968	1.0
Icelandic_2.6	5950232	0.56569579288	0.0	0.0	0.544684837109	1.0
Maltese_2.6	4672928	0.146090471356	0.0	0.0	0.0549850144775	1.0
Russian_2.6	2791995	0.68369682816	1.0	0.0	0.730194169948	1.0
Greek_2.6	4367203	0.777010686858	1.0	0.0	0.783292939453	1.0
Hindi_2.6	2902587	0.188744262927	0.0	0.0	0.0941450509216	1.0
Latin_2.6	7015482	0.887600144956	1.0	1.0	0.940766550523	0.0
Yoruba_2.6	2099079	0.388592961177	0.0	1.0	0.38075665164	0.0
Coptic_2.6	4465856	0.451564358511	1.0	0.0	0.448233732413	0.0
Old_French_2.6	8203900	0.504786902666	1.0	0.0	0.505521152184	1.0
Thai_2.6	1874068	0.571484697124	0.0	1.0	0.568059986374	1.0
Latin_2.6	338975	0.500433531016	0.0	0.0	0.534581272543	0.0
Sanskrit_2.6	7973102	0.401112283375	0.0	1.0	0.390973611829	1.0
Icelandic_2.6	485969	0.104498381877	0.0	0.0	0.00498132004981	0.0
Hungarian_2.6	5750572	0.122849645047	0.0	0.0	0.00775836738899	0.0
Faroese_2.7	3293251	0.76558372508	1.0	1.0	0.860453400504	0.0
Upper_Sorbian_2.6	8750965	0.819420602891	1.0	0.0	0.941035365074	1.0
North_Sami_2.6	6396539	0.911944596735	1.0	1.0	0.978968792402	0.0
Classical_Chinese_2.6	5558235	0.830670499206	1.0	1.0	0.851662819416	0.0
Turkish_2.6	6076165	0.323980775703	0.0	0.0	0.0619544566316	1.0
Turkish_2.6	4671054	0.487223960049	0.0	1.0	0.438825330439	1.0
Serbian_2.6	4159605	0.791833667566	1.0	1.0	0.893460634214	0.0
Russian_2.6	6875850	0.120222317458	0.0	0.0	0.0366000129866	1.0
Sanskrit_2.6	5931424	0.614319184123	1.0	0.0	0.655843059093	0.0
Galician_2.6	8304497	0.845567242981	1.0	1.0	0.916697309732	0.0
Norwegian_2.6	6365268	0.0899864464009	0.0	0.0	0.00383310265517	0.0
Catalan_2.6	6338998	0.270208919711	0.0	1.0	0.249480316492	0.0
Welsh_2.6	8731336	0.345520196784	0.0	1.0	0.272473122564	1.0
Galician_2.6	2733298	0.776901165654	1.0	1.0	0.841676673127	1.0
Turkish_2.7	5033257	0.656470867225	1.0	0.0	0.761231242942	1.0
Bambara_2.6	7119352	0.954143766847	1.0	1.0	0.954520574477	0.0
Kazakh_2.6	3547114	0.818770226537	1.0	0.0	0.841796875	0.0
Turkish_2.7	5675968	0.339226619406	0.0	1.0	0.311181470957	1.0
Armenian_2.6	6264305	0.173828080807	0.0	0.0	0.0040115644705	0.0
Urdu_2.6	7347211	0.411467896339	1.0	1.0	0.450571202272	0.0
Croatian_2.6	852059	0.13589178272	0.0	0.0	0.0146092625529	0.0
Naija_2.6	9306700	0.396454068187	0.0	1.0	0.381433883485	0.0
Chinese_2.6	2703676	0.135095430355	0.0	0.0	0.00295193569652	0.0
Welsh_2.6	6704649	0.704762722191	1.0	1.0	0.99266934943	1.0
Bulgarian_2.6	4890524	0.226496785364	0.0	0.0	0.000554804968486	0.0
Afrikaans_2.6	9815700	0.67741545294	0.0	0.0	0.643149428224	1.0
Coptic_2.6	6725358	0.0726681215807	0.0	0.0	0.047857540345	0.0
Latvian_2.6	6472216	0.269192234545	0.0	1.0	0.206670666206	0.0
Buryat_2.6	2595916	0.256252153793	0.0	1.0	0.103448275862	1.0
Slovenian_2.6	7143496	0.161629889313	0.0	0.0	0.0108173546903	0.0
Faroese_2.7	4846752	0.901069325687	1.0	1.0	0.998486230217	1.0
Bambara_2.6	2885110	0.00667324213236	0.0	0.0	0.00343506192366	0.0
Hindi_2.6	7929009	0.130394832694	0.0	0.0	0.0382500103064	0.0
Ancient_Greek_2.6	4001979	0.608547175842	1.0	0.0	0.642300739151	0.0
Icelandic_2.6	5734303	0.511529126214	1.0	1.0	0.524738680386	1.0
Slovak_2.6	2787077	0.145471758182	0.0	0.0	0.00107688150528	0.0
Hebrew_2.6	3560808	0.0767530548519	0.0	0.0	0.000723274989151	0.0
Maltese_2.6	2021658	0.221231849574	0.0	0.0	0.0505439609314	1.0
Arabic_2.6	1521866	0.700263351427	1.0	0.0	0.716116475634	0.0
Mbya_Guarani_2.6	2054767	0.144887676461	0.0	0.0	0.139636793127	0.0
Yoruba_2.6	7894774	0.367941298016	0.0	1.0	0.365912382807	1.0
Serbian_2.6	2925485	0.16757914903	0.0	0.0	0.00371944739639	0.0
Hindi_2.6	4865759	0.51547142413	1.0	0.0	0.491040954236	0.0
Turkish_2.6	5448473	0.591876985785	1.0	0.0	0.647179093936	0.0
Russian_2.6	7937220	0.661735087209	1.0	0.0	0.76457374126	0.0
Ukrainian_2.6	4962783	0.141692637012	0.0	0.0	0.0281426270627	1.0
Finnish_2.6	8118488	0.691083383699	1.0	0.0	0.761804469877	0.0
Breton_2.6	1237292	0.651376146789	1.0	0.0	0.676092544987	0.0
Akkadian_2.7	3252726	0.246412621715	0.0	1.0	0.238678742674	1.0
Wolof_2.6	2492364	0.808492145653	1.0	1.0	0.879761626548	1.0
Galician_2.6	696258	0.807636667935	1.0	1.0	0.870976120278	0.0
Breton_2.6	8944438	0.907795561125	1.0	1.0	0.984455958549	1.0
Chinese_2.6	6351491	0.228333453117	0.0	0.0	0.131727025928	0.0
English_2.6	6555155	0.163938901484	0.0	0.0	0.00724272989208	0.0
Irish_2.6	6251754	0.889941465247	1.0	1.0	0.955843385193	0.0
Upper_Sorbian_2.6	5742581	0.309564228875	0.0	1.0	0.105113636364	0.0
Urdu_2.6	7364347	0.501125694522	1.0	0.0	0.467855175095	0.0
Ancient_Greek_2.6	8113654	0.590026475974	1.0	0.0	0.601967848618	0.0
Turkish_2.7	1998422	0.344277480445	0.0	1.0	0.248787442762	0.0
Japanese_2.6	6554095	0.846065387817	1.0	0.0	0.932954440084	1.0
Slovenian_2.6	4082521	0.883426241175	1.0	1.0	0.983556230435	1.0
Uyghur_2.6	8127024	0.214336436156	0.0	0.0	0.0226495696676	1.0
Finnish_2.6	8543274	0.853016672503	1.0	1.0	0.956449304082	0.0
Spanish_2.6	2417283	0.608053835476	1.0	0.0	0.558739176097	0.0
Hungarian_2.6	9205303	0.780969603067	1.0	0.0	0.857167900318	1.0
Maltese_2.6	7217563	0.206581795398	0.0	0.0	0.0131058740866	0.0
Japanese_2.6	3700626	0.847550476399	1.0	1.0	0.838161039784	0.0
Dutch_2.6	7176922	0.0656988782235	0.0	0.0	0.0171703778023	0.0
Russian_2.6	9311941	0.112159182876	0.0	0.0	0.00871732252162	0.0
Faroese_2.7	9602639	0.27015546205	0.0	0.0	0.210789559602	1.0
Wolof_2.6	4316644	0.488499742563	0.0	1.0	0.48431533006	1.0
Faroese_2.6	9217774	0.810044977511	1.0	0.0	0.7775	1.0
Turkish_2.7	8413086	0.586236486076	1.0	0.0	0.690036264709	0.0
Sanskrit_2.6	4242322	0.768901496159	1.0	1.0	0.989432098765	0.0
Buryat_2.6	9369277	0.141675609666	0.0	0.0	0.0385103998007	1.0
Catalan_2.6	6239683	0.555218412938	1.0	0.0	0.546882611435	1.0
Basque_2.6	3550349	0.719847221799	1.0	1.0	0.720476713475	0.0
Galician_2.6	3980224	0.685117552158	1.0	0.0	0.717593200912	1.0
Arabic_2.6	2621557	0.213563796417	0.0	1.0	0.114628117416	0.0
Estonian_2.6	4423754	0.505472516435	1.0	0.0	0.573694034167	1.0
North_Sami_2.6	8286443	0.849082849157	1.0	1.0	0.978997289973	0.0
Hindi_2.6	3817821	0.331417461498	0.0	1.0	0.286366980184	1.0
Thai_2.6	5081378	0.0903766940387	0.0	0.0	0.00231347599769	0.0
Old_Russian_2.6	4908019	0.695494216929	1.0	1.0	0.739627233809	0.0
Italian_2.6	6608572	0.14507983779	0.0	0.0	0.0670579566294	1.0
Bambara_2.6	518899	0.990568388345	1.0	1.0	0.991094035212	1.0
Urdu_2.6	3226089	0.0787031608008	0.0	0.0	0.00612690771841	0.0
Icelandic_2.6	3810156	0.0927144012945	0.0	0.0	0.00642452319836	0.0
French_2.6	3915439	0.763531050066	1.0	1.0	0.871974896595	0.0
North_Sami_2.6	3797047	0.266283606866	0.0	1.0	0.189152542373	0.0
Italian_2.6	185377	0.61410838487	1.0	0.0	0.536132221999	1.0
Persian_2.7	6217242	0.0371318895932	0.0	0.0	0.00424405172637	0.0
Latin_2.6	5212671	0.503611996684	0.0	0.0	0.508904907097	0.0
Serbian_2.6	3707102	0.568388059872	1.0	0.0	0.570567351124	1.0
French_2.6	3557385	0.492101141435	1.0	1.0	0.470730334789	1.0
Turkish_2.7	3224427	0.704809587479	1.0	1.0	0.856158184318	0.0
Belarusian_2.6	632858	0.0853159283433	0.0	0.0	0.012062321997	0.0
Buryat_2.6	7615436	0.133263891449	0.0	0.0	0.0210865790127	0.0
Russian_2.6	554945	0.545425704723	1.0	1.0	0.55273433222	1.0
Chinese_2.6	4197895	0.269562576119	0.0	1.0	0.137389122938	1.0
Japanese_2.6	394224	0.828758284509	1.0	0.0	0.835184226149	1.0
Hindi_2.6	5441806	0.651917439763	1.0	0.0	0.679434516726	1.0
North_Sami_2.6	3189822	0.13141852329	0.0	0.0	0.00140795494544	0.0
Icelandic_2.7	8372498	0.594725051665	1.0	0.0	0.617989490654	1.0
Romanian_2.6	3976745	0.636431716964	1.0	0.0	0.646528294079	0.0
Erzya_2.6	5366467	0.878755242644	1.0	1.0	0.988358006087	1.0
Latvian_2.6	444704	0.0803059401115	0.0	0.0	0.0015368852459	0.0
Belarusian_2.6	6629748	0.584879166984	1.0	0.0	0.574161767259	1.0
Chinese_2.6	6331804	0.369432444394	0.0	0.0	0.273451602626	1.0
Croatian_2.6	3748481	0.272035504939	0.0	0.0	0.196176225533	1.0
Old_Church_Slavonic_2.6	211185	0.463367163784	1.0	0.0	0.451788098725	1.0
Ancient_Greek_2.6	2764062	0.707030030481	1.0	0.0	0.71914650322	1.0
Urdu_2.6	2362011	0.165459284263	0.0	0.0	0.100184328102	1.0
Cantonese_2.6	4348759	0.73966257634	0.0	1.0	0.789407313997	1.0
Irish_2.6	9240898	0.71143258103	1.0	0.0	0.687568310629	1.0
Czech_2.6	6527927	0.745705795292	1.0	0.0	0.765350789214	1.0
Upper_Sorbian_2.6	8421984	0.910331339513	1.0	1.0	0.954285714286	0.0
Lithuanian_2.6	8798825	0.405254564806	0.0	0.0	0.329812522568	0.0
Latvian_2.6	6056187	0.123999624968	0.0	0.0	0.0359211977909	1.0
Russian_2.6	7560872	0.118015555357	0.0	0.0	0.0107046677286	0.0
Kurmanji_2.6	8412209	0.596628723805	1.0	0.0	0.482684626498	0.0
Estonian_2.6	4949002	0.616129652713	1.0	0.0	0.696960833827	1.0
Latvian_2.6	2136991	0.585867085039	1.0	0.0	0.529034833748	0.0
Finnish_2.6	40674	0.592485033103	1.0	0.0	0.537560050534	0.0
Croatian_2.6	6121553	0.547930033755	1.0	0.0	0.571281315173	1.0
Tamil_2.6	5617785	0.0952511389999	0.0	0.0	0.0648769574944	1.0
Gothic_2.6	5078626	0.854083140818	1.0	1.0	0.933869544092	0.0
Spanish_2.6	8021408	0.090899115202	0.0	0.0	0.00253663687664	0.0
Estonian_2.6	4397509	0.655951648397	1.0	0.0	0.570181069734	0.0
Faroese_2.7	486136	0.23885344369	1.0	0.0	0.209432048682	0.0
Slovak_2.6	463550	0.926189007954	1.0	1.0	0.994119990417	1.0
Irish_2.6	3475958	0.718584025603	1.0	1.0	0.727869571659	0.0
Scottish_Gaelic_2.6	1507880	0.15757694967	0.0	0.0	0.0339620665858	1.0
Catalan_2.6	3079496	0.428111369774	0.0	0.0	0.418508779215	0.0
Kazakh_2.6	3060967	0.439840096884	0.0	0.0	0.387107771684	0.0
Portuguese_2.6	5564382	0.304267012509	0.0	1.0	0.183890132746	1.0
Slovenian_2.6	5797611	0.84316333743	1.0	1.0	0.942125551608	1.0
Thai_2.6	7720547	0.108850232965	0.0	0.0	0.00115673799884	0.0
Slovenian_2.6	5123984	0.23616023963	0.0	0.0	0.0869786171544	1.0
Belarusian_2.6	7837560	0.563569252402	1.0	0.0	0.580859418373	1.0
Italian_2.6	9245163	0.0557752350537	0.0	0.0	0.0103567343138	0.0
Icelandic_2.6	1175430	0.185218446602	0.0	0.0	0.113210664091	0.0
Irish_2.6	1742969	0.450697830675	0.0	1.0	0.303631403501	1.0
Hebrew_2.6	793987	0.0904901665287	0.0	0.0	0.0174041429981	0.0
Portuguese_2.6	4873875	0.742713693532	1.0	1.0	0.747959160844	1.0
Ukrainian_2.6	5265146	0.882773671869	1.0	1.0	0.99967564061	1.0
Old_French_2.6	5303818	0.284740159504	1.0	0.0	0.261022449662	0.0
Turkish_2.7	908560	0.446594558078	0.0	0.0	0.462140879513	0.0
Wolof_2.6	2304770	0.716292586244	0.0	1.0	0.750583839327	0.0
Old_Russian_2.6	8664246	0.604016645901	1.0	1.0	0.560167355945	0.0
Old_French_2.6	7908829	0.304614734423	1.0	0.0	0.272242862391	0.0
Scottish_Gaelic_2.6	1683118	0.196895389775	0.0	0.0	0.0396763554654	1.0
Catalan_2.6	6150141	0.679025333728	1.0	0.0	0.727584540573	1.0
Estonian_2.6	1156326	0.951436387572	1.0	1.0	0.993685962152	1.0
Swedish_2.6	3280455	0.0666502607823	0.0	0.0	0.0090847486293	0.0
Galician_2.6	2807085	0.0633381590978	0.0	0.0	0.0279764848177	0.0
Estonian_2.6	4697493	0.919024253697	1.0	1.0	0.990197892465	1.0
Gothic_2.6	3708245	0.530035522709	0.0	1.0	0.546214598349	1.0
Hindi_2.6	5014999	0.675517677326	1.0	0.0	0.714817558164	1.0
Coptic_2.6	1832951	0.535096066065	0.0	1.0	0.53940912896	0.0
Lithuanian_2.6	8542980	0.257360514455	0.0	1.0	0.110375379606	0.0
Portuguese_2.6	6662560	0.227695578783	0.0	1.0	0.191134965745	1.0
Italian_2.6	9489360	0.406728059028	0.0	1.0	0.321571625338	1.0
Basque_2.6	2235738	0.365602764067	0.0	0.0	0.340108817008	0.0
Bambara_2.6	9858316	0.975696269049	1.0	1.0	0.976203191757	0.0
Hindi_2.6	5307139	0.275974510153	0.0	1.0	0.244142101496	0.0
Lithuanian_2.6	2660499	0.57494165731	1.0	0.0	0.736396044948	1.0
Upper_Sorbian_2.6	7180229	0.797768713281	1.0	0.0	0.898042929293	1.0
Chinese_2.6	7856557	0.142478057973	0.0	0.0	0.00109387615854	0.0
Kurmanji_2.6	9218283	0.538084043491	1.0	0.0	0.469750231267	0.0
Amharic_2.6	8171894	0.0628384132136	0.0	0.0	0.00373831775701	0.0
Upper_Sorbian_2.6	2296777	0.157646835923	0.0	0.0	0.12160003651	1.0
Classical_Chinese_2.6	7656639	0.208671823998	0.0	1.0	0.191368139398	0.0
Indonesian_2.6	2514145	0.313575442627	0.0	1.0	0.0913335947575	0.0
Turkish_2.6	5990114	0.533839480751	1.0	0.0	0.57486581002	0.0
Coptic_2.6	4854007	0.186617760778	1.0	0.0	0.153541402887	0.0
Old_Church_Slavonic_2.6	7588221	0.698967668061	1.0	1.0	0.749548877939	1.0
Ukrainian_2.6	8430142	0.903224233516	1.0	1.0	0.991112375301	1.0
Catalan_2.6	4822762	0.0162951202771	0.0	0.0	0.00038446799942	0.0
Japanese_2.6	471776	0.737629062836	1.0	1.0	0.891801640337	0.0
Welsh_2.6	825035	0.551069304851	1.0	0.0	0.500941083485	1.0
Erzya_2.6	6958690	0.740913811007	1.0	0.0	0.788314454091	0.0
Belarusian_2.6	4038190	0.802167127668	1.0	1.0	0.831085223789	1.0
Akkadian_2.7	3168128	0.662029187725	1.0	0.0	0.676472036673	1.0
Amharic_2.6	7648212	0.392110841914	1.0	0.0	0.302431610942	1.0
Indonesian_2.6	2315514	0.216037201729	0.0	0.0	0.0131037005404	0.0
Irish_2.6	6804122	0.767768300451	1.0	0.0	0.761631764158	1.0
Uyghur_2.6	5969822	0.763592917755	1.0	0.0	0.785778534563	1.0
Hindi_2.6	8215014	0.180947949351	0.0	0.0	0.0932418750223	1.0
Arabic_2.6	6744847	0.199942895187	0.0	1.0	0.0434480777463	0.0
Indonesian_2.6	6233580	0.15131504209	0.0	0.0	0.0036167364535	0.0
Scottish_Gaelic_2.6	9047111	0.500333395901	1.0	1.0	0.966338259442	0.0
Icelandic_2.6	7467790	0.0153074433657	0.0	0.0	0.00373599003736	0.0
Bulgarian_2.6	139164	0.645694772631	1.0	0.0	0.582783597575	0.0
Galician_2.6	5127803	0.526271048024	1.0	1.0	0.529881651284	1.0
Belarusian_2.6	5202799	0.744857117302	1.0	0.0	0.770267581649	0.0
Romanian_2.6	2722869	0.897253363766	1.0	1.0	0.991696449114	1.0
Uyghur_2.6	3582840	0.826908592948	1.0	1.0	0.972557850916	1.0
Yoruba_2.6	4543699	0.0806241090386	0.0	0.0	0.0105757931845	0.0
Norwegian_2.6	3227084	0.116399305516	0.0	0.0	0.00429574198431	0.0
Danish_2.6	869722	0.504095615901	0.0	1.0	0.510395622772	0.0
Catalan_2.6	8262905	0.55747344819	1.0	0.0	0.569767352532	0.0
Tamil_2.6	8944167	0.217170249043	0.0	0.0	0.0827506237043	1.0
Icelandic_2.7	2841080	0.427565640139	1.0	1.0	0.406741463569	0.0
Urdu_2.6	1593048	0.155608122717	0.0	0.0	0.0794821725609	1.0
Sanskrit_2.6	2751543	0.885848548695	1.0	1.0	0.990682440631	0.0
Japanese_2.6	5710552	0.698371832229	1.0	0.0	0.851686010741	0.0
Catalan_2.6	9538597	0.0709405685243	0.0	0.0	0.0109474692322	0.0
North_Sami_2.6	6770430	0.483217093026	1.0	1.0	0.50554596887	0.0
Amharic_2.6	6804713	0.0513961860844	0.0	0.0	0.0213658593569	1.0
Bambara_2.6	1313285	0.298655602078	1.0	0.0	0.299409104727	0.0
Cantonese_2.6	4262751	0.627470932205	0.0	0.0	0.640127288374	0.0
North_Sami_2.6	3872442	0.540406140628	1.0	1.0	0.55788237059	0.0
Faroese_2.6	1138472	0.54347826087	0.0	0.0	0.0	0.0
Gothic_2.6	8530779	0.566306409684	1.0	0.0	0.558409755996	0.0
Slovenian_2.6	5103282	0.902268284993	1.0	1.0	0.928293675901	1.0
Czech_2.6	4843784	0.78677919781	1.0	1.0	0.801418840848	0.0
Hebrew_2.6	3283028	0.186177706311	0.0	1.0	0.104909693925	0.0
Ancient_Greek_2.6	7149759	0.954392253456	1.0	1.0	0.999397961451	1.0
Dutch_2.6	5763089	0.457428738373	0.0	0.0	0.464926643898	0.0
Galician_2.6	7200791	0.411821205443	0.0	0.0	0.425280832188	0.0
Spanish_2.6	8619237	0.12920803474	0.0	0.0	0.0542778107149	1.0
Faroese_2.7	5268910	0.24317162973	0.0	0.0	0.010095911156	0.0
Old_Russian_2.6	7007483	0.924508641616	1.0	1.0	0.994357427765	1.0
Latin_2.6	4758174	0.898081375021	1.0	1.0	0.966418192026	1.0
Sanskrit_2.6	6905813	0.547963827041	1.0	1.0	0.519642706246	0.0
Scottish_Gaelic_2.6	8134615	0.146174077915	0.0	0.0	0.0429914589184	1.0
Old_Church_Slavonic_2.6	4807479	0.695136877568	1.0	1.0	0.788287502486	1.0
Afrikaans_2.6	7208966	0.129506661647	0.0	0.0	0.0102157063086	1.0
Amharic_2.6	7365500	0.187996162167	0.0	0.0	0.119895413357	1.0
Ancient_Greek_2.6	9021183	0.901569989868	1.0	1.0	0.975157677493	0.0
Wolof_2.6	6271645	0.90745268388	1.0	1.0	0.929792508071	0.0
Faroese_2.7	376390	0.506975509442	0.0	1.0	0.48383539565	0.0
Old_Russian_2.6	4069403	0.93394525842	1.0	1.0	0.983574548194	1.0
Hebrew_2.6	398883	0.199573251956	0.0	0.0	0.0553365210419	1.0
Finnish_2.6	260572	0.143594841769	0.0	0.0	0.0396914597562	1.0
Finnish_2.6	8585853	0.773841164923	1.0	0.0	0.821107235164	1.0
Icelandic_2.7	651922	0.0795799473544	0.0	0.0	0.00622824910608	0.0
Latin_2.6	2603979	0.481453939465	0.0	0.0	0.490401238841	1.0
Kurmanji_2.6	6061833	0.435582822086	1.0	0.0	0.474694589878	0.0
Old_French_2.6	222628	0.833233722569	1.0	1.0	0.877034725593	0.0
Thai_2.6	6924370	0.275690148742	0.0	0.0	0.23486317604	1.0
Yoruba_2.6	3108771	0.0931308663816	0.0	0.0	0.0414354289401	0.0
Gothic_2.6	9273551	0.477195086925	1.0	0.0	0.468440893122	0.0
Russian_2.6	9075732	0.375089330879	0.0	1.0	0.309461571526	1.0
Czech_2.6	7822058	0.705070986058	1.0	0.0	0.737442501185	1.0
Gothic_2.6	5072085	0.836436703716	1.0	1.0	0.959395690849	0.0
Slovenian_2.6	5688435	0.897457311024	1.0	1.0	0.954496469149	0.0
Indonesian_2.6	1490481	0.172840152282	0.0	0.0	0.00576246366121	0.0
Greek_2.6	4065430	0.205575728904	0.0	1.0	0.227113493651	0.0
Bulgarian_2.6	7515270	0.200055280509	0.0	0.0	0.0	0.0
