Language	Model	Congruence_All	Congruence_VN	Congruence_VP	Congruence_V	Congruence_VProp
Old_French_2.6	6858452	0.0254817945499	0.0	0.0	0.011014553393	0.0
Indonesian_2.6	7880502	0.470283280285	1.0	1.0	0.68039579876	0.0
Japanese_2.6	2110471	0.668413592994	1.0	1.0	0.832578208678	0.0
Amharic_2.6	6867485	0.38148736306	1.0	0.0	0.309817345113	0.0
Latvian_2.6	2103935	0.729023448817	1.0	0.0	0.773974145088	0.0
Slovenian_2.6	4289143	0.363365516022	0.0	1.0	0.355813226793	1.0
Sanskrit_2.6	4689762	0.405128567243	0.0	1.0	0.396618033361	1.0
Ukrainian_2.6	3751937	0.187748631221	0.0	0.0	0.0748713724305	0.0
Latin_2.6	3670703	0.498488570636	1.0	1.0	0.494004454212	1.0
Polish_2.6	7354150	0.879415430292	1.0	1.0	0.965866502134	1.0
Gothic_2.6	3582758	0.487480106101	0.0	0.0	0.491667795813	0.0
Cantonese_2.6	8056610	0.137403736154	0.0	0.0	0.0426412378553	1.0
Ukrainian_2.6	6750044	0.755507139292	1.0	1.0	0.830243098049	1.0
Old_Russian_2.6	5995172	0.495503983619	0.0	1.0	0.451984257354	1.0
Old_French_2.6	7497395	0.705907565768	0.0	1.0	0.735182076934	1.0
North_Sami_2.6	7300669	0.236404746509	0.0	1.0	0.194886109817	0.0
Basque_2.6	1511511	0.136413763581	0.0	1.0	0.0550816515063	0.0
Turkish_2.6	35667	0.426088778043	0.0	0.0	0.203470373993	0.0
Irish_2.6	4252524	0.620166962429	1.0	0.0	0.597415269554	0.0
Welsh_2.6	7744213	0.53731714707	0.0	1.0	0.500974462366	1.0
Lithuanian_2.6	3644912	0.198200403532	0.0	0.0	0.000658111220796	0.0
Old_Russian_2.6	1867525	0.87368858238	1.0	1.0	0.997362590991	1.0
Kazakh_2.6	2202545	0.920313235195	1.0	1.0	0.972549019608	0.0
Urdu_2.6	2450625	0.587633119125	1.0	0.0	0.610677614684	1.0
Buryat_2.6	5215449	0.77491318531	1.0	1.0	0.842705997115	1.0
Hindi_2.6	5998057	0.0805213283588	0.0	0.0	0.0365809695047	0.0
Swedish_2.6	8290090	0.427660955844	1.0	0.0	0.361183071144	1.0
Ukrainian_2.6	5228157	0.597405282804	1.0	0.0	0.627259228202	0.0
Bambara_2.6	2373110	0.994703805003	1.0	1.0	0.995228547672	1.0
Sanskrit_2.6	5700440	0.947020556814	1.0	1.0	0.992	0.0
Thai_2.6	8633196	0.0803190375534	0.0	0.0	0.0	0.0
Tamil_2.6	7113582	0.0528048746401	0.0	0.0	0.0	0.0
Polish_2.6	9777787	0.823276754661	1.0	0.0	0.855736959731	1.0
Romanian_2.6	327935	0.582252164839	1.0	0.0	0.594475843549	1.0
Faroese_2.6	8202307	0.0115640785679	0.0	0.0	0.0	0.0
Gothic_2.6	52169	0.335029819192	0.0	0.0	0.156217735933	1.0
Croatian_2.6	6488703	0.752966189312	1.0	0.0	0.828903604467	1.0
Latin_2.6	5754819	0.464933222086	0.0	0.0	0.48892942469	0.0
Hindi_2.6	9558658	0.120540712566	0.0	0.0	0.0382458606725	0.0
Portuguese_2.6	1321365	0.724681758105	1.0	1.0	0.772680236925	0.0
Croatian_2.6	8609993	0.703042796375	1.0	0.0	0.770323330743	1.0
Urdu_2.6	237795	0.582624711854	1.0	1.0	0.616076753037	0.0
Czech_2.6	6233296	0.721547561873	1.0	1.0	0.737483579195	0.0
Turkish_2.6	2222886	0.611208424463	1.0	0.0	0.589450586101	0.0
Polish_2.6	8439103	0.772958363265	1.0	0.0	0.76765490016	1.0
Mbya_Guarani_2.6	1175569	0.158230207246	0.0	1.0	0.153557629727	1.0
Buryat_2.6	8645483	0.648843350783	1.0	0.0	0.696893743477	0.0
Dutch_2.6	7536727	0.245681585972	0.0	1.0	0.184054567818	0.0
Naija_2.6	6706621	0.716886868289	0.0	1.0	0.77725415677	1.0
Faroese_2.7	2124338	0.479154295208	0.0	1.0	0.466890986078	0.0
Upper_Sorbian_2.6	2312844	0.328886755141	0.0	0.0	0.168682795699	1.0
Erzya_2.6	9044290	0.262174622469	0.0	1.0	0.176809210526	0.0
Kazakh_2.6	3668355	0.316582321188	0.0	1.0	0.229557007988	1.0
Danish_2.6	4727959	0.462762517247	1.0	0.0	0.474771628904	1.0
Slovak_2.6	2726185	0.454413191302	0.0	1.0	0.473993669418	1.0
Icelandic_2.7	5424353	0.0890437590979	0.0	0.0	0.00265432385433	0.0
Ukrainian_2.6	3908567	0.352908160092	0.0	1.0	0.284155738633	1.0
Maltese_2.6	5847976	0.75521663181	1.0	1.0	0.797275660225	0.0
