"Language" "Family.x" "OSSameSideSum" "OSSameSideTotal" "OSSameSide" "OFartherThanS" "Model" "Congruence_All" "Congruence_VN" "Congruence_VP" "Congruence_V" "Congruence_VProp" "OSV" "SOV" "SVO" "AUCOptimizedCongruence" "LogOSSameSide" "LogCongruence_VN" "Language2" "Family.y" "Genus" "Family" "Together"
"21" "English_2.8" "Germanic" 1 15 0.0666666666666667 0.533333333333333 694901542 0.0729201181435 0.12261098877 0.138691384478 0.0720849798385 0.0537579966463 1 0 18 0.0526315789473685 -2.70805019960221 -2.09873862760439 "English" "Germanic" "Indo_European" "Germanic" 0.119298245614035
"22" "Erzya_2.8" "Mordvin" 11 15 0.733333333333333 0.8 843735253 0.476249789268 0.487182601016 0.634021152542 0.474192515462 0.388250458661 0 8 5 0.615384615384615 -0.310154928167476 -0.719116275219212 "Erzya" "Mordvin" "Uralic" "Mordvin" 1.34871794871795
"23" "Estonian_2.8" "Finnic" 7 15 0.466666666666667 0.8 50353485 0.467039206647 0.463275497373 0.61677773359 0.461984813881 0.480322146437 8 10 1 0.947368421052632 -0.76214005183261 -0.769433374914714 "Estonian" "Finnic" "Uralic" "Finnic" 1.4140350877193
"24" "Faroese_2.8" "Germanic" 6 15 0.4 0.666666666666667 436318553 0.268417394082 0.227152446932 0.303776521783 0.273059003957 0.188097770235 4 6 13 0.434782608695652 -0.916290731624155 -1.48213391407666 "Faroese" "Germanic" "Indo_European" "Germanic" 0.834782608695652
"25" "Finnish_2.8" "Finnic" 0 15 0 0.6 471186946 0.36579177966 0.357388798827 0.52877328524 0.360018167859 0.384488339127 5 17 1 0.956521739130435 -23.0258509299405 -1.02893101718722 "Finnish" "Finnic" "Uralic" "Finnic" 0.956521739130435
"26" "French_2.8" "Latin_Romance" 1 15 0.0666666666666667 0.733333333333333 47422331 0.176083754346 0.0713803477628 0.863233626012 0.180137306223 0.0925765719956 8 0 14 0.363636363636364 -2.70805019960221 -2.63973268753889 "French" "Latin_Romance" "Indo_European" "Latin_Romance" 0.43030303030303
"27" "Galician_2.8" "Latin_Romance" 0 15 0 0.666666666666667 905213407 0.294175948537 0.225810722919 0.758784686134 0.298883456421 0.263681775204 5 6 9 0.55 -23.0258509299405 -1.48805813938174 "Galician" "Latin_Romance" "Indo_European" "Latin_Romance" 0.55
"28" "German_2.8" "Germanic" 1 15 0.0666666666666667 0.333333333333333 79616265 0.565903420835 0.556170801101 0.581203791054 0.557684332315 0.524957789739 4 10 13 0.518518518518519 -2.70805019960221 -0.586679835502033 "German" "Germanic" "Indo_European" "Germanic" 0.585185185185185
"29" "Gothic_2.8" "Germanic" 7 15 0.466666666666667 0.133333333333333 712245701 0.459232965585 0.491991618649 0.417821613434 0.459160581801 0.509706240828 5 10 9 0.625 -0.76214005183261 -0.709293597697935 "Gothic" "Germanic" "Indo_European" "Germanic" 1.09166666666667
"30" "Greek_2.8" "Greek" 5 15 0.333333333333333 0.6 592399301 0.342487113894 0.300390568067 0.854352011351 0.316143965024 0.272360872552 0 11 8 0.578947368421053 -1.09861228836811 -1.20267175716497 "Greek" "Greek" "Indo_European" "Greek" 0.912280701754386
"31" "Hebrew_2.8" "Semitic" 7 15 0.466666666666667 0.8 768286386 0.3010906285 0.412333543373 0.079988303755 0.347378250099 0.359953456178 0 12 5 0.705882352941176 -0.76214005183261 -0.88592268562248 "Hebrew" "Semitic" "Afro_Asiatic" "Semitic" 1.17254901960784
"32" "Hindi_2.8" "Indic" 3 15 0.2 1 486919458 0.757779052566 0.953766806783 0.982975662265 0.76149941611 0.983678529104 3 25 1 0.96551724137931 -1.6094379119341 -0.0473360746430591 "Hindi" "Indic" "Indo_European" "Indic" 1.16551724137931
"33" "Hungarian_2.8" "Ugric" 4 15 0.266666666666667 0.133333333333333 65887060 0.533789835137 0.493459049193 0.733747738011 0.511328486948 0.43661943786 5 14 1 0.95 -1.32175583960732 -0.706315403707673 "Hungarian" "Ugric" "Uralic" "Ugric" 1.21666666666667
"34" "Icelandic_2.8" "Germanic" 4 15 0.266666666666667 0.733333333333333 291959208 0.361656692871 0.369866994504 0.41074633404 0.372140925471 0.352314497004 5 0 6 0.454545454545455 -1.32175583960732 -0.994611812013392 "Icelandic" "Germanic" "Indo_European" "Germanic" 0.721212121212122
"35" "Indonesian_2.8" "Malayo-Sumbawan" 0 15 0 0.133333333333333 572735524 0.0880379680751 0.0707065712195 0.538869286722 0.086770779155 0.0524080150652 1 19 1 0.952380952380952 -23.0258509299405 -2.64921676387129 "Indonesian" "Malayo-Sumbawan" "Austronesian" "Malayo-Sumbawan" 0.952380952380952
"36" "Irish_2.8" "Celtic" 11 15 0.733333333333333 0.8 771001378 0.556083756191 0.992055324291 0.943422638303 0.762703997354 0.996247655488 14 9 2 0.92 -0.310154928167476 -0.00797640269694035 "Irish" "Celtic" "Indo_European" "Celtic" 1.65333333333333
"37" "Italian_2.8" "Latin_Romance" 4 15 0.266666666666667 0.6 793083349 0.284870933724 0.26237395069 0.613071160177 0.27316164867 0.240736892335 15 6 4 0.84 -1.32175583960732 -1.33798449974405 "Italian" "Latin_Romance" "Indo_European" "Latin_Romance" 1.10666666666667
"38" "Japanese_2.8" "Japanese" 13 15 0.866666666666667 0.466666666666667 174546322 0.999706867079 0.999708247237 0.999999852877 0.999692530785 0.999349208344 0 22 5 0.814814814814815 -0.143100843525288 -0.000291795231087921 "Japanese" "Japanese" "Japanese" "Japanese" 1.68148148148148
"39" "Kazakh_2.8" "Turkic" 3 15 0.2 0.266666666666667 112077683 0.989447119612 0.993603411514 0.993375124282 0.987671041633 0.946229166934 7 13 0 1 -1.6094379119341 -0.00641713421984807 "Kazakh" "Turkic" "Turkic" "Turkic" 1.2
"40" "Kiche_2.8" "Mayan" 13 15 0.866666666666667 0.0666666666666667 985390497 0.633677632387 0.625 0.640864540077 0.559479948401 0.326531986669 0 11 0 1 -0.143100843525288 -0.470003629085736 "Kiche" "Mayan" "Mayan" "Mayan" 1.86666666666667
"41" "Komi_Zyrian_2.8" "Permic" 5 15 0.333333333333333 0.466666666666667 405110495 0.485152303689 0.466834585089 0.656922207349 0.482907854308 0.333338888843 0 0 5 0 -1.09861228836811 -0.761780291363533 "Komi Zyrian" "Permic" "Uralic" "Permic" 0.333333333333333
"42" "Korean_2.8" "Korean" 15 15 1 0.333333333333333 314184008 0.990605914869 0.999842792014 0.999999760367 0.999750128401 0.999999663735 0 19 0 1 1.00000008269037e-10 -0.000157220244455002 "Korean" "Korean" "Korean" "Korean" 2
"43" "Kurmanji_2.8" "Iranian" 8 15 0.533333333333333 0.6 936794070 0.947093950521 0.943446365217 0.966099611429 0.94791018533 0.988209720393 2 8 3 0.769230769230769 -0.628608659234875 -0.0582157623002201 "Kurmanji" "Iranian" "Indo_European" "Iranian" 1.3025641025641
"44" "Latin_2.8" "Latin_Romance" 9 15 0.6 0.666666666666667 957464114 0.545646492509 0.516776540958 0.659390569726 0.555167690045 0.495392485158 5 9 4 0.777777777777778 -0.510825623599324 -0.660144720233653 "Latin" "Latin_Romance" "Indo_European" "Latin_Romance" 1.37777777777778
"45" "Latvian_2.8" "Baltic" 4 15 0.266666666666667 0.8 226753318 0.403611546261 0.422810242069 0.786442702459 0.402857652155 0.429638495321 3 1 13 0.235294117647059 -1.32175583960732 -0.860831800660261 "Latvian" "Baltic" "Indo_European" "Baltic" 0.501960784313726
"46" "Lithuanian_2.8" "Baltic" 1 15 0.0666666666666667 0.733333333333333 767426392 0.393711849508 0.378904519631 0.719334322648 0.382353985808 0.487545884037 1 4 10 0.333333333333333 -2.70805019960221 -0.97047103246974 "Lithuanian" "Baltic" "Indo_European" "Baltic" 0.4
"47" "Maltese_2.8" "Semitic" 3 15 0.2 0.466666666666667 966814606 0.273242412674 0.331555562998 0.364590746922 0.301359267834 0.255660768871 6 5 4 0.733333333333333 -1.6094379119341 -1.10395987224605 "Maltese" "Semitic" "Afro_Asiatic" "Semitic" 0.933333333333333
"48" "Manx_2.8" "Celtic" 3 15 0.2 1 919087240 0.967093790616 0.996460176991 0.992918289775 0.995423314923 1 3 2 2 0.714285714285714 -1.6094379119341 -0.00354610290654631 "Manx" "Celtic" "Indo_European" "Celtic" 0.914285714285714
"49" "Mbya_Guarani_2.8" "Tupian" 13 15 0.866666666666667 1 871748839 0.521121480063 0.492866611433 0.872529761796 0.521130131602 0.630751337921 0 4 8 0.333333333333333 -0.143100843525288 -0.707516706390502 "Mbya Guarani" "Tupian" "Tupian" "Tupian" 1.2
"50" "Naija_2.8" "Creole_Naija" 2 16 0.125 0.8125 244411048 0.0193517476982 0.0668281913338 0.00839242115711 0.019147399787 0.0100218097828 0 1 26 0.0370370370370371 -2.07944154087984 -2.70563026001598 "Naija" "Creole_Naija" "Indo_European" "Creole_Naija" 0.162037037037037
"51" "North_Sami_2.8" "Sami" 3 15 0.2 0.4 134016999 0.311893243962 0.393443742197 0.47510756862 0.32250211294 0.246745931277 0 7 5 0.583333333333333 -1.6094379119341 -0.932817188824538 "North Sami" "Sami" "Uralic" "Sami" 0.783333333333333
"52" "Norwegian_2.8" "Germanic" 1 15 0.0666666666666667 0.6 905329798 0.215860612479 0.246255888602 0.321924857969 0.246003220371 0.331351942868 0 6 17 0.260869565217391 -2.70805019960221 -1.4013840857052 "Norwegian" "Germanic" "Indo_European" "Germanic" 0.327536231884058
"53" "Old_Church_Slavonic_2.8" "Slavic" 7 15 0.466666666666667 0.133333333333333 548132695 0.447574843416 0.501367845904 0.384184658831 0.448450342839 0.525586879614 1 21 3 0.88 -0.76214005183261 -0.690415223746649 "Old Church_Slavonic" "Slavic" "Indo_European" "Slavic" 1.34666666666667
"54" "Old_East_Slavic_2.8" "Slavic" 9 15 0.6 0.6 671555770 0.478951853043 0.495885032721 0.401728886795 0.474579692985 0.492956627075 0 6 3 0.666666666666667 -0.510825623599324 -0.701411167791693 "Old East_Slavic" "Slavic" "Indo_European" "Slavic" 1.26666666666667
"55" "Old_French_2.8" "Latin_Romance" 9 15 0.6 0.8 643055153 0.559562266001 0.450122061015 0.807337837539 0.558724227433 0.447745488594 6 5 2 0.846153846153846 -0.510825623599324 -0.798236486076345 "Old French" "Latin_Romance" "Indo_European" "Latin_Romance" 1.44615384615385
