Language	Family	Genus
Afrikaans_2.6	Germanic	Indo_European
Amharic_2.6	Semitic	Afro_Asiatic
Ancient_Greek_2.6	Greek	Indo_European
Arabic_2.6	Semitic	Afro_Asiatic
Armenian_2.6	Armenian	Indo_European
Bambara_2.6	Mande	Niger-Congo
Basque_2.6	Basque	Basque
Breton_2.6	Celtic	Indo_European
Bulgarian_2.6	Slavic	Indo_European
Buryat_2.6	Mongolic	Mongolic
Cantonese_2.6	Sino-Tibetan	Sino-Tibetan
Catalan_2.6	Latin_Romance	Indo_European
Chinese_2.6	Sino-Tibetan	Sino-Tibetan
Classical_Chinese_2.6	Sino-Tibetan	Sino-Tibetan
Coptic_2.6	Egyptian	Afro_Asiatic	
Croatian_2.6	Slavic	Indo_European
Czech_2.6	Slavic	Indo_European
Danish_2.6	Germanic	Indo_European
Dutch_2.6	Germanic	Indo_European
English_2.6	Germanic	Indo_European
Erzya_2.6	Mordvin	Uralic
Estonian_2.6	Finnic	Uralic
Faroese_2.6	Germanic	Indo_European
Finnish_2.6	Finnic	Uralic
French_2.6	Latin_Romance	Indo_European
German_2.6	Germanic	Indo_European
Gothic_2.6	Germanic	Indo_European
Greek_2.6	Greek	Indo_European
Hebrew_2.6	Semitic	Afro_Asiatic
Hindi_2.6	Indic	Indo_European
Hungarian_2.6	Ugric	Uralic
Icelandic_2.6	Germanic	Indo_European
Indonesian_2.6	Malayo-Sumbawan	Austronesian
Irish_2.6	Celtic	Indo_European
Italian_2.6	Latin_Romance	Indo_European
Japanese_2.6	Japanese	Japanese
Kazakh_2.6	Turkic	Turkic
Korean_2.6	Korean	Korean
Kurmanji_2.6	Iranian	Indo_European
Latin_2.6	Latin_Romance	Indo_European
Latvian_2.6	Baltic	Indo_European
Lithuanian_2.6	Baltic	Indo_European
Maltese_2.6	Semitic	Afro_Asiatic
Mbya_Guarani_2.6	Tupian	Tupian
Naija_2.6	Creole_Naija	Indo_European
North_Sami_2.6	Sami	Uralic
Norwegian_2.6	Germanic	Indo_European
Old_Church_Slavonic_2.6	Slavic	Indo_European
Old_French_2.6	Latin_Romance	Indo_European
Old_Russian_2.6	Slavic	Indo_European
Persian_2.6	Iranian	Indo_European
Polish_2.6	Slavic	Indo_European
Portuguese_2.6	Latin_Romance	Indo_European
Romanian_2.6	Latin_Romance	Indo_European
Russian_2.6	Slavic	Indo_European
Sanskrit_2.6	Indic	Indo_European
Scottish_Gaelic_2.6	Celtic	Indo_European
Serbian_2.6	Slavic	Indo_European
Sindhi_2.6	Indic	Indo_European
Slovak_2.6	Slavic	Indo_European
Slovenian_2.6	Slavic	Indo_European
Spanish_2.6	Latin_Romance	Indo_European
Swedish_2.6	Germanic	Indo_European
Thai_2.6	Tai-Kadai	Tai-Kadai
Turkish_2.6	Turkic	Turkic
Ukrainian_2.6	Slavic	Indo_European
Urdu_2.6	Indic	Indo_European
Uyghur_2.6	Turkic	Turkic
Vietnamese_2.6	Viet-Muong	Viet-Muong
Welsh_2.6	Celtic	Indo_European
Wolof_2.6	Northern_Atlantic	Niger-Congo
Yoruba_2.6	Defoid	Niger-Congo
Galician_2.6	Latin_Romance	Indo_European
Belarusian_2.6	Slavic	Indo_European
Upper_Sorbian_2.6	Slavic	Indo_European
Akkadian_2.7	Semitic	Afro_Asiatic
Faroese_2.7	Germanic	Indo_European
Icelandic_2.7	Germanic	Indo_European
Persian_2.7	Iranian	Indo_European
Turkish_2.7	Turkic	Turkic

