CoarseDependency	DH_Weight	DependentPOS	DistanceWeight	Document	FileName	HeadPOS	Language	Language_
obj	7.7877	N	3.2196	ALL	762231	V	ISWOC_Old_English	ISWOC_Old_English
sub	8.3563	N	0.8648	ALL	762231	V	ISWOC_Old_English	ISWOC_Old_English
obj	6.5049	N	-2.7273	ALL	2353143	V	ISWOC_Old_English	ISWOC_Old_English
sub	8.7544	N	-5.7293	ALL	2353143	V	ISWOC_Old_English	ISWOC_Old_English
obj	7.9657	N	0.3581	ALL	4187081	V	ISWOC_Old_English	ISWOC_Old_English
sub	7.2368	N	-0.1586	ALL	4187081	V	ISWOC_Old_English	ISWOC_Old_English
obj	2.9744	N	0.5549	chrona	4994864	V	ISWOC_Old_English	ISWOC_Old_English
obj	-1.4013	N	1.4293	or	4994864	V	ISWOC_Old_English	ISWOC_Old_English
obj	-1.7663	N	1.8507	aels	4994864	V	ISWOC_Old_English	ISWOC_Old_English
obj	3.3781	N	0.9714	apt	4994864	V	ISWOC_Old_English	ISWOC_Old_English
obj	-5.7286	N	-0.7536	wscp	4994864	V	ISWOC_Old_English	ISWOC_Old_English
sub	6.1156	N	0.2828	chrona	4994864	V	ISWOC_Old_English	ISWOC_Old_English
sub	2.5933	N	-0.3811	or	4994864	V	ISWOC_Old_English	ISWOC_Old_English
sub	-4.6398	N	0.3336	aels	4994864	V	ISWOC_Old_English	ISWOC_Old_English
sub	5.4258	N	-0.4384	apt	4994864	V	ISWOC_Old_English	ISWOC_Old_English
sub	-6.8797	N	0.5585	wscp	4994864	V	ISWOC_Old_English	ISWOC_Old_English
obj	-3.0834	N	-0.6843	chrona	821666	V	ISWOC_Old_English	ISWOC_Old_English
obj	-0.834	N	0.5838	or	821666	V	ISWOC_Old_English	ISWOC_Old_English
obj	1.2709	N	1.5188	aels	821666	V	ISWOC_Old_English	ISWOC_Old_English
obj	4.3646	N	2.8122	apt	821666	V	ISWOC_Old_English	ISWOC_Old_English
obj	5.5131	N	-0.3586	wscp	821666	V	ISWOC_Old_English	ISWOC_Old_English
sub	-5.0002	N	-0.2919	chrona	821666	V	ISWOC_Old_English	ISWOC_Old_English
sub	2.3726	N	-0.254	or	821666	V	ISWOC_Old_English	ISWOC_Old_English
sub	-4.2789	N	0.2662	aels	821666	V	ISWOC_Old_English	ISWOC_Old_English
