Group	Time
Gothic_2.6	+350
Coptic_2.6	+450
Germanic	+250
Indo_European	-5300
Semitic	-3750
Insular_Celtic	-900
Common_Turkic	+700
Tai-Kadai	-3000
Slavic	+700
Indo_Iranian	-2500
Viet-Muong	-3000
Atlantic_Congo	-4500
Niger_Congo	-5000
Mande	+0
Mongolic	+500
Sino-Tibetan	-10000
Mordvin	+0
Uralic	-3000
West_Semitic	-3400
Central_Semitic	-2450
Arabic	+1100
South_Slavic	+750
West_Slavic	+750
Iranian	-500
Egyptian	-3000
Tupian	+0
Malayo-Sumbawan	+0
Armenian	+0
Korean	+0
Defoid	+0
Sami	+0
Northern_Atlantic	+0
Eastern_Baltic	+600
Finnic	+800
Greek	-1500
Ugric	-2000
Hindustani	+1800
Basque	+1800
Japanese	+0
Afroasiatic	-10000
Serbo_Croatian	+1900
Creole_Naija	+1900
Classical_Chinese_2.6	-300
ISWOC_Old_English	+900
Old_French_2.6	+1200
Old_Church_Slavonic_2.6	+850
Old_Russian_2.6	+1200
Archaic_Greek	-700
Classical_Greek	-400
Koine_Greek	+0
West_Germanic	+500
North_Germanic	+650
Sanskrit_2.6	-900
Latin_2.6	+0
West_Scandinavian	+1100
Icelandic_Faroese	+1400
Goidelic	+950
Brythonic	+500
Balto_Slavic	-1400
Global_Dutch	+1600
Western_South_Slavic	+1000
Western_Romance	+800
Italo_Western_Romance	+500
Iberian_Romance	+1000
West_Iberian	+1100
Macro_English	+1900
